split,minutes,events,positive_rate,avg_close_r,median_close_r,avg_mfe_r,avg_mae_r
DEV,5,202,0.45544554455445546,-0.009662730594383306,-0.05037708756614896,0.4226954525689663,-0.46280214365556455
DEV,15,202,0.5,0.08176813092579248,0.00010802900223034692,0.6514747686662649,-0.6008301148002265
DEV,30,202,0.47029702970297027,0.10808982707455515,-0.048029704573266475,0.8372771477997344,-0.7281175165340961
DEV,60,200,0.485,0.17000793182600524,-0.021774967739694895,1.0917334953346203,-0.9005153686936913
DEV,90,195,0.49743589743589745,0.1803666696134009,-0.007739557739544218,1.2942080993559828,-1.0371789306983104
DEV,120,190,0.5157894736842106,0.21162530608183136,0.023255441800585586,1.4085790986845805,-1.1126621322000008
VALIDATION,5,85,0.4235294117647059,-0.14094683519113932,-0.12099238964993311,0.3295565630753042,-0.506903695647893
VALIDATION,15,85,0.47058823529411764,-0.05051872949700113,-0.0025955318439474704,0.5079822404217654,-0.6800489542053688
VALIDATION,30,85,0.5294117647058824,-0.019209262867391056,0.07818065547563825,0.7141434480093063,-0.8221740197992122
VALIDATION,60,85,0.5294117647058824,0.010693830410611779,0.13665836065574735,0.9607548225437742,-0.9859499831586869
VALIDATION,90,85,0.49411764705882355,0.04325696829367611,-0.0008464328899565411,1.1283518165011746,-1.0586490031179896
VALIDATION,120,83,0.5060240963855421,0.1103794319003894,0.0051624829733521935,1.2481616199994956,-1.1222772619874202
