split,events,avg_eod_gross_r,avg_mfe_60m_r,avg_mae_60m_r,median_mfe_60m_r,median_mae_60m_r,p_mfe_ge_0_5r,p_mfe_ge_1r,p_mae_le_neg_0_5r,p_mae_le_neg_1r
DEV,202,-0.038806781661780546,1.0917334953346203,-0.9005153686936913,0.7099397233941309,-0.7484678605313074,0.6237623762376238,0.400990099009901,0.6534653465346535,0.3564356435643564
VALIDATION,85,-0.39671292845149697,0.9607548225437742,-0.9859499831586869,0.6616911646586486,-0.6306516853931936,0.6352941176470588,0.3176470588235294,0.611764705882353,0.35294117647058826
