gap_min_pct,rvol_min,candidate_bars,candidate_sessions
0.0,0.0,607,28
0.0,0.5,482,27
0.0,1.0,273,22
0.0,1.5,134,20
0.0,2.0,72,18
0.0,3.0,32,13
0.5,0.0,383,13
0.5,0.5,313,13
0.5,1.0,183,13
0.5,1.5,95,11
0.5,2.0,49,10
0.5,3.0,21,7
1.0,0.0,0,0
1.0,0.5,0,0
1.0,1.0,0,0
1.0,1.5,0,0
1.0,2.0,0,0
1.0,3.0,0,0
2.0,0.0,0,0
2.0,0.5,0,0
2.0,1.0,0,0
2.0,1.5,0,0
2.0,2.0,0,0
2.0,3.0,0,0
3.0,0.0,0,0
3.0,0.5,0,0
3.0,1.0,0,0
3.0,1.5,0,0
3.0,2.0,0,0
3.0,3.0,0,0
5.0,0.0,0,0
5.0,0.5,0,0
5.0,1.0,0,0
5.0,1.5,0,0
5.0,2.0,0,0
5.0,3.0,0,0
