split,delay_min,horizon_min,events,positive_rate,avg_r,median_r,trimmed_mean_r,ci_low,ci_high,avg_mfe_r,avg_mae_r
DEV,5,15,520,0.4980769230769231,0.05793186388734203,0.0,0.03293414898467412,-0.02044516086102876,0.1333833212045158,0.714771237720126,-0.622333076558338
DEV,5,30,520,0.5134615384615384,0.13495702284740566,0.027192234185374864,0.08164189750539837,0.041087220358538845,0.23514535346173224,0.9347646820053155,-0.7778911099862238
DEV,5,60,506,0.5177865612648221,0.20155022786791016,0.07290684624017238,0.11573456950386418,0.06721848446327171,0.3311427945014681,1.2122075992440449,-0.967264649011682
DEV,5,120,471,0.5074309978768577,0.24836844771718652,0.03921568627450231,0.11625041581285149,0.06208004788915713,0.45778788644490037,1.5791992478617092,-1.2290439404368316
DEV,15,15,520,0.5230769230769231,0.11050331310510712,0.05138307975185889,0.07797550292695175,0.04152949378393488,0.17790050949914915,0.6751357323023173,-0.5417708669234789
DEV,15,30,515,0.541747572815534,0.18658368269319922,0.07547169811319536,0.13912661373238186,0.09641009524856262,0.2750687438205053,0.8877201742955318,-0.6781408391318692
DEV,15,60,497,0.5191146881287726,0.19848342789704113,0.037184594953519265,0.10531518644196237,0.06879230452602886,0.3247264804593318,1.141787770735106,-0.8770993540283811
DEV,15,120,462,0.5194805194805194,0.24227575177622224,0.07803132763565548,0.12375276156296516,0.07706200825622918,0.4356521626834482,1.513945415200305,-1.1606478480132374
DEV,30,15,515,0.5067961165048543,0.0932293827236931,0.017551939412539526,0.0624020001784777,0.0315984684271659,0.1578466035611602,0.6104294798660763,-0.5179959202510702
DEV,30,30,509,0.5284872298624754,0.1262129988690885,0.06327683615820616,0.07341010849735005,0.04199766276974789,0.21525068581747298,0.7959461920778933,-0.6476783396173815
DEV,30,60,491,0.49490835030549896,0.12467039536724855,0.0,0.06793075103379825,0.011695724096764084,0.24340767649882025,1.0162205167728882,-0.88072347013665
DEV,30,120,446,0.5044843049327354,0.17405902609774151,0.018016919249799885,0.0704354450489832,0.005098037809218083,0.35603686361558745,1.3952955569537178,-1.1650675089397817
DEV,60,15,497,0.47484909456740443,0.001986170542382882,-0.025055928411638884,-0.002562073463533842,-0.06413955839762768,0.06299922276800485,0.5360100073955637,-0.5565592285377664
DEV,60,30,491,0.5010183299389002,0.03929693707909852,0.015846066779866223,0.034516580607739884,-0.0418838332182507,0.1203371195353497,0.71391783311634,-0.7164976491570368
DEV,60,60,473,0.49682875264270615,0.04715119734674959,0.0,0.01947346343044852,-0.08587386429713285,0.17123415722019364,1.0084397729669545,-0.964292456192931
DEV,60,120,407,0.4619164619164619,0.05588173319892671,-0.0879432624113576,-0.022145369550862035,-0.12324335546899864,0.2328737561801266,1.3661588446237993,-1.3394100343159694
VALIDATION,5,15,139,0.5467625899280576,0.09521785109559565,0.09475465313028258,0.08558261423763486,-0.05170278171919505,0.2698733029200131,0.6998964197698387,-0.5696550867619465
VALIDATION,5,30,139,0.60431654676259,0.13298508093579453,0.21486056522552519,0.14242726269413367,-0.0444074303367876,0.31158650988802306,0.8954573352999883,-0.680861476330883
VALIDATION,5,60,136,0.5882352941176471,0.14552584564981907,0.2169367599716152,0.1551457590041844,-0.09485407616257363,0.3823103989452907,1.1474899432947292,-0.844868576929313
VALIDATION,5,120,135,0.5259259259259259,0.14348555564473153,0.047646057855932226,0.055080305922675564,-0.19085066338525583,0.4595834043207303,1.455832428260427,-1.0089924817126306
VALIDATION,15,15,139,0.5323741007194245,0.08532192617868012,0.02832574607992557,0.06253597093641902,-0.042784270416917965,0.22382113617803,0.628053103871067,-0.4911811536858659
VALIDATION,15,30,139,0.539568345323741,0.0553539131906061,0.09731437598737405,0.03266277844533119,-0.10682092195593423,0.20133839087813812,0.7633147040339539,-0.6367379148709835
VALIDATION,15,60,136,0.5294117647058824,0.11859461507262911,0.0690838875777884,0.07488960336485259,-0.0743174776573992,0.34191634895853756,0.9815525290838335,-0.791422667307764
VALIDATION,15,120,135,0.45925925925925926,0.07523488359710556,-0.07962085308055683,-0.019663044540088215,-0.2013726433726073,0.3582091371020954,1.2673221667049668,-0.9807620832926086
VALIDATION,30,15,139,0.5323741007194245,-0.016279693941503436,0.02469135802470636,-0.008326098115634674,-0.13541208244784217,0.10183257521227855,0.5094369010431882,-0.4946917031140659
VALIDATION,30,30,138,0.45652173913043476,0.012974848081311158,-0.04648608021775308,0.015392850841536345,-0.14858452821292015,0.15407867882266857,0.6784577811145449,-0.6337738142115206
VALIDATION,30,60,136,0.47058823529411764,0.06312104647526215,-0.023651994440689158,0.008946545284475759,-0.12379927418410662,0.2639067735582785,0.8984841131270564,-0.77272269218092
VALIDATION,30,120,130,0.49230769230769234,-0.050232609832381994,0.0,-0.08365837677215336,-0.2728161366954321,0.2019765654008033,1.0776308500190557,-1.009798001283953
VALIDATION,60,15,136,0.5073529411764706,0.04996214404033165,0.017352832088166494,0.016693207154218473,-0.05174044397735467,0.16316627854147733,0.5203098796143513,-0.46342384618673904
VALIDATION,60,30,136,0.41911764705882354,0.05851161315328828,-0.10295454983577774,-0.02595307257177033,-0.08537113809874493,0.2161625832300502,0.72925081100339,-0.6370902031399877
VALIDATION,60,60,135,0.3925925925925926,-0.011625885637499377,-0.16323731138546385,-0.12041372845102617,-0.21322357263701477,0.2016080753574326,0.9450127096927755,-0.8476502956414602
VALIDATION,60,120,127,0.47244094488188976,-0.03503120661115183,-0.048865619546258586,-0.04558310165977145,-0.2773449647390577,0.23298348031864458,1.1373068013853591,-1.1347651851342544
