split,delay_min,events,mean_r,median_r,trimmed_mean_r,p10,p25,p75,p90,p95
DEV,5,471,0.24836844771718652,0.03921568627450231,0.11625041581285149,-1.7372856727695356,-0.9248042026236468,1.1339459760512476,2.575866188769443,3.7633166474136814
DEV,15,462,0.24227575177622224,0.07803132763565548,0.12375276156296516,-1.749021377504067,-0.8978054758038223,1.1667910923740905,2.5316929565505446,3.4985042735042886
DEV,30,446,0.17405902609774151,0.018016919249799885,0.0704354450489832,-1.6873101263872679,-0.9694453093466877,1.0735897450588245,2.267542041733039,3.479806619022079
DEV,60,407,0.05588173319892671,-0.0879432624113576,-0.022145369550862035,-2.0328239893887154,-1.012113489362397,0.9702192239787117,2.0769703247378635,3.2485661439323805
VALIDATION,5,135,0.14348555564473153,0.047646057855932226,0.055080305922675564,-1.980284839924659,-0.9698453879310949,1.172990463303218,2.1216713115993815,2.850161583587776
VALIDATION,15,135,0.07523488359710556,-0.07962085308055683,-0.019663044540088215,-1.6995297312364497,-0.763171418235919,0.6858668586685861,1.682846050928863,2.444764957264969
VALIDATION,30,130,-0.050232609832381994,0.0,-0.08365837677215336,-1.6283550676790972,-0.8814610432269072,0.6029010586319202,1.3968431011108842,1.6819749876623384
VALIDATION,60,127,-0.03503120661115183,-0.048865619546258586,-0.04558310165977145,-1.720491903783046,-0.7884193761893108,0.7311417926802574,1.6645527285042956,2.1289616161615927
