split,delay_min,events,top_1pct_positive_share,top_5pct_positive_share,top_10pct_positive_share
DEV,5,471,0.08835866160988431,0.2267831413730467,0.35562219167935283
DEV,15,462,0.0845195600720934,0.21860257033272748,0.34779503683320956
DEV,30,446,0.0910657317087278,0.22059876864712527,0.34214293759765885
DEV,60,407,0.057202560681363354,0.20741496458295403,0.3279496401410947
VALIDATION,5,135,0.09099016691144084,0.2561383586705132,0.3808359537931545
VALIDATION,15,135,0.10119195843701617,0.3097415283091371,0.40914693604642766
VALIDATION,30,130,0.09715799632649778,0.2772234292916392,0.3780495890628985
VALIDATION,60,127,0.08049597938316672,0.2050280155512191,0.33933117711739386
