split,snapshot_time,score_family,top_k,horizon_min,future_winners,selected_events,winners_captured,winner_capture_rate,precision
DEV,12:00,QUALITY_3,5,120,2245,2195,144,0.06414253897550111,0.06560364464692484
DEV,12:00,FULL_4,1,120,2245,439,37,0.01648106904231626,0.08428246013667426
DEV,12:00,FULL_4,3,120,2245,1316,92,0.040979955456570155,0.06990881458966565
DEV,12:00,FULL_4,5,120,2245,2194,141,0.06280623608017817,0.06426618049225159
VALIDATION,09:45,MOMENTUM_ONLY,1,60,659,125,6,0.009104704097116844,0.048
VALIDATION,09:45,MOMENTUM_ONLY,3,60,659,375,22,0.03338391502276176,0.058666666666666666
VALIDATION,09:45,MOMENTUM_ONLY,5,60,659,625,36,0.054628224582701064,0.0576
VALIDATION,09:45,MOMENTUM_VOLUME,1,60,659,125,6,0.009104704097116844,0.048
VALIDATION,09:45,MOMENTUM_VOLUME,3,60,659,375,23,0.03490136570561457,0.06133333333333333
VALIDATION,09:45,MOMENTUM_VOLUME,5,60,659,625,46,0.06980273141122914,0.0736
VALIDATION,09:45,QUALITY_3,1,60,659,125,7,0.010622154779969651,0.056
VALIDATION,09:45,QUALITY_3,3,60,659,375,25,0.03793626707132018,0.06666666666666667
VALIDATION,09:45,QUALITY_3,5,60,659,625,44,0.06676783004552352,0.0704
VALIDATION,09:45,FULL_4,1,60,659,125,8,0.012139605462822459,0.064
VALIDATION,09:45,FULL_4,3,60,659,375,28,0.042488619119878605,0.07466666666666667
VALIDATION,09:45,FULL_4,5,60,659,625,47,0.07132018209408195,0.0752
VALIDATION,09:45,MOMENTUM_ONLY,1,120,659,125,7,0.010622154779969651,0.056
VALIDATION,09:45,MOMENTUM_ONLY,3,120,659,375,24,0.036418816388467376,0.064
VALIDATION,09:45,MOMENTUM_ONLY,5,120,659,625,38,0.057663125948406675,0.0608
VALIDATION,09:45,MOMENTUM_VOLUME,1,120,659,125,6,0.009104704097116844,0.048
VALIDATION,09:45,MOMENTUM_VOLUME,3,120,659,375,19,0.028831562974203338,0.050666666666666665
VALIDATION,09:45,MOMENTUM_VOLUME,5,120,659,625,38,0.057663125948406675,0.0608
VALIDATION,09:45,QUALITY_3,1,120,659,125,7,0.010622154779969651,0.056
VALIDATION,09:45,QUALITY_3,3,120,659,375,21,0.03186646433990895,0.056
VALIDATION,09:45,QUALITY_3,5,120,659,625,41,0.0622154779969651,0.0656
VALIDATION,09:45,FULL_4,1,120,659,125,4,0.006069802731411229,0.032
VALIDATION,09:45,FULL_4,3,120,659,375,24,0.036418816388467376,0.064
VALIDATION,09:45,FULL_4,5,120,659,625,48,0.07283763277693475,0.0768
VALIDATION,10:00,MOMENTUM_ONLY,1,60,659,124,3,0.004552352048558422,0.024193548387096774
VALIDATION,10:00,MOMENTUM_ONLY,3,60,659,374,23,0.03490136570561457,0.06149732620320856
VALIDATION,10:00,MOMENTUM_ONLY,5,60,659,624,36,0.054628224582701064,0.057692307692307696
VALIDATION,10:00,MOMENTUM_VOLUME,1,60,659,125,7,0.010622154779969651,0.056
