split,snapshot_time,score_family,top_k,horizon_min,events,sessions,avg_fwd_atr,median_fwd_atr,positive_rate,session_avg_fwd_atr,session_ci_low,session_ci_high
DEV,09:45,MOMENTUM_ONLY,1,30,449,449,-0.13621109702467013,-0.1669611307420184,0.42316258351893093,-0.13621109702467013,-0.2521041090627982,-0.022605808647592276
DEV,09:45,MOMENTUM_ONLY,1,60,449,449,-0.21554329601201014,-0.2212467076382743,0.4365256124721604,-0.2155432960120101,-0.3685271650768001,-0.07184075813480605
DEV,09:45,MOMENTUM_ONLY,1,120,449,449,-0.23368857498957982,-0.3868225292242145,0.40311804008908686,-0.23368857498957982,-0.4256304465764688,-0.03320725923266715
DEV,09:45,MOMENTUM_ONLY,3,30,1349,450,-0.03999335443008115,-0.11063487811411125,0.4462564862861379,-0.04073751722884511,-0.1147131533519461,0.03671325752318006
DEV,09:45,MOMENTUM_ONLY,3,60,1349,450,-0.043908472027919566,-0.14189189189187046,0.45441067457375833,-0.04491434195678027,-0.14125557772199113,0.05208619980124247
DEV,09:45,MOMENTUM_ONLY,3,120,1349,450,-0.024553572814918663,-0.18030743664311874,0.45218680504077097,-0.026482286294377193,-0.14859009860569194,0.09795364223643735
DEV,09:45,MOMENTUM_ONLY,5,30,2249,450,-0.031534767488066724,-0.09512254307207618,0.45264562027567806,-0.03210796892881007,-0.09939523866337974,0.031097570301024537
DEV,09:45,MOMENTUM_ONLY,5,60,2249,450,-0.04638740481862588,-0.14016629899880498,0.45664739884393063,-0.04677189077915407,-0.1304765848439537,0.04206808286857721
DEV,09:45,MOMENTUM_ONLY,5,120,2249,450,-0.028266817139468985,-0.18030743664311874,0.45975989328590483,-0.029252196401291883,-0.13991384971233098,0.08214002040637323
DEV,09:45,MOMENTUM_VOLUME,1,30,441,441,-0.06109295543784806,-0.16733067729081139,0.4331065759637188,-0.06109295543784806,-0.1760570739847709,0.056397300082414496
DEV,09:45,MOMENTUM_VOLUME,1,60,441,441,-0.08700363574174023,-0.19855159927579216,0.4444444444444444,-0.08700363574174022,-0.23988904753196594,0.06726572840229268
DEV,09:45,MOMENTUM_VOLUME,1,120,441,441,-0.12304498902378255,-0.2831050228310433,0.4308390022675737,-0.1230449890237826,-0.32725849143899316,0.09667997333820681
DEV,09:45,MOMENTUM_VOLUME,3,30,1323,441,-0.08821208307117454,-0.1353251318101819,0.4383975812547241,-0.08821208307117452,-0.16197637906901927,-0.008570442033826809
DEV,09:45,MOMENTUM_VOLUME,3,60,1323,441,-0.07562365375195712,-0.14629985071443782,0.46107331821617537,-0.0756236537519571,-0.17543427217551966,0.025130964715933846
DEV,09:45,MOMENTUM_VOLUME,3,120,1323,441,-0.08814744427695921,-0.18181818181818182,0.4603174603174603,-0.0881474442769592,-0.22582854192340981,0.051383838313841544
DEV,09:45,MOMENTUM_VOLUME,5,30,2205,441,-0.037258670623918196,-0.10346787947698999,0.45396825396825397,-0.03725867062391821,-0.09945055532678548,0.02831217611502371
DEV,09:45,MOMENTUM_VOLUME,5,60,2205,441,-0.02444983564817435,-0.12572161642079066,0.4616780045351474,-0.024449835648174344,-0.11065364900225975,0.05989364559220752
DEV,09:45,MOMENTUM_VOLUME,5,120,2205,441,-0.031622999661771886,-0.15127701375247363,0.4657596371882086,-0.031622999661771886,-0.16205848727988054,0.08690612824964776
DEV,09:45,QUALITY_3,1,30,441,441,-0.08416234067065094,-0.1353251318101819,0.43537414965986393,-0.08416234067065094,-0.205651704112567,0.03969280728976178
DEV,09:45,QUALITY_3,1,60,441,441,-0.06305419530181544,-0.183783783783789,0.4580498866213152,-0.06305419530181543,-0.2140352197880901,0.08845815894525637
DEV,09:45,QUALITY_3,1,120,441,441,-0.08118789614675977,-0.2598607888630948,0.4421768707482993,-0.08118789614675981,-0.2755804598898598,0.1303757049321891
DEV,09:45,QUALITY_3,3,30,1323,441,-0.03718051738121341,-0.0887761572606218,0.45729402872260017,-0.037180517381213404,-0.12107397368543654,0.04535701148410397
DEV,09:45,QUALITY_3,3,60,1323,441,-0.03114691408027368,-0.17186700767264157,0.4595616024187453,-0.031146914080273702,-0.13743483128931225,0.08500890382743097
DEV,09:45,QUALITY_3,3,120,1323,441,-0.024077689198320467,-0.17270751336427212,0.46485260770975056,-0.024077689198320443,-0.16251663700191352,0.11716991826829534
DEV,09:45,QUALITY_3,5,30,2205,441,-0.027244178871435536,-0.07945516458571637,0.4621315192743764,-0.027244178871435543,-0.09304655342855163,0.040906984999071846
DEV,09:45,QUALITY_3,5,60,2205,441,-0.027580217387128923,-0.11551155115511526,0.46077097505668935,-0.027580217387128906,-0.12474973191942933,0.06827690570927016
DEV,09:45,QUALITY_3,5,120,2205,441,-0.009880126832218786,-0.1495726495726422,0.46802721088435373,-0.009880126832218783,-0.1320279559448093,0.10748779069298049
DEV,09:45,FULL_4,1,30,441,441,-0.05488033582349997,-0.16552250190693651,0.4399092970521542,-0.05488033582349996,-0.17564593437395168,0.0686023061830536
DEV,09:45,FULL_4,1,60,441,441,-0.026463417209020734,-0.17186700767264157,0.4603174603174603,-0.02646341720902073,-0.19036353190849928,0.13485358084340146
DEV,09:45,FULL_4,1,120,441,441,0.03926729419662261,-0.09475465313028765,0.47619047619047616,0.039267294196622574,-0.16871560298346447,0.25857401826505794
DEV,09:45,FULL_4,3,30,1323,441,-0.03132645111746895,-0.08939974457215868,0.4595616024187453,-0.03132645111746895,-0.11062112633332925,0.04578422680321874
DEV,09:45,FULL_4,3,60,1323,441,-0.029334094414468163,-0.10905550146055851,0.4671201814058957,-0.029334094414468152,-0.14403641552370727,0.07875201162651584
DEV,09:45,FULL_4,3,120,1323,441,0.004069716116530674,-0.07517899761336791,0.47619047619047616,0.00406971611653068,-0.11994473828287275,0.13541348164947445
DEV,09:45,FULL_4,5,30,2205,441,-0.03835424614176543,-0.1017897091722383,0.45396825396825397,-0.03835424614176545,-0.10496908897854484,0.031188529936562525
DEV,09:45,FULL_4,5,60,2205,441,-0.03270556764434672,-0.11254019292604495,0.46303854875283446,-0.03270556764434671,-0.12280667838799375,0.06142418135816938
DEV,09:45,FULL_4,5,120,2205,441,0.01946381275260888,-0.08181818181817219,0.4775510204081633,0.019463812752608892,-0.09875710324444259,0.13184382821108914
DEV,10:00,MOMENTUM_ONLY,1,30,446,446,-0.09348935989367606,-0.1350877397113371,0.437219730941704,-0.09348935989367607,-0.18467833909995582,-0.003155579604491656
DEV,10:00,MOMENTUM_ONLY,1,60,446,446,-0.09347615946410809,-0.12764849351744667,0.4439461883408072,-0.09347615946410809,-0.22965382476084206,0.05478879689029451
DEV,10:00,MOMENTUM_ONLY,1,120,446,446,-0.1675363879204336,-0.219523440781841,0.4147982062780269,-0.1675363879204336,-0.33066307767844755,-0.0021449606222761638
DEV,10:00,MOMENTUM_ONLY,3,30,1342,448,-0.04097515893208483,-0.11752069643088245,0.4396423248882265,-0.04281225961571326,-0.1110800756420665,0.02320730494821158
DEV,10:00,MOMENTUM_ONLY,3,60,1342,448,0.02491050419695225,-0.06625454121242996,0.46572280178837555,0.023008237034198877,-0.06943479532374852,0.10904741097588089
DEV,10:00,MOMENTUM_ONLY,3,120,1342,448,-0.0037121945807634597,-0.16246907997620713,0.4485842026825633,-0.00652794591790127,-0.13079451615712906,0.10453580521182555
DEV,10:00,MOMENTUM_ONLY,5,30,2238,448,-0.024127191710484407,-0.0860015368852524,0.4548704200178731,-0.024791885187904296,-0.07720072829975458,0.02834261423139721
DEV,10:00,MOMENTUM_ONLY,5,60,2238,448,0.020931681655389688,-0.07879243638681835,0.46112600536193027,0.02049461027063565,-0.052049809440896266,0.10231644971512018
DEV,10:00,MOMENTUM_ONLY,5,120,2238,448,0.00835256714658479,-0.11732645819472126,0.4615728328865058,0.006599340140143101,-0.0924529266700089,0.12069957606224033
DEV,10:00,MOMENTUM_VOLUME,1,30,439,439,-0.009404330434009813,-0.11095751543636997,0.44874715261959,-0.00940433043400983,-0.12008483825984978,0.10457111767208406
DEV,10:00,MOMENTUM_VOLUME,1,60,439,439,0.039147014577271155,-0.07567567567566817,0.4624145785876993,0.03914701457727115,-0.1160098654012294,0.1901408089787865
DEV,10:00,MOMENTUM_VOLUME,1,120,439,439,-0.0036399308687250745,-0.14393420150788208,0.4533029612756264,-0.0036399308687250784,-0.1833770719246445,0.1919132255023139
DEV,10:00,MOMENTUM_VOLUME,3,30,1317,439,0.03817180946941558,-0.05236091631603242,0.4753227031131359,0.03817180946941558,-0.02721721204628444,0.10001270817701283
