split,trend,max_vwap_extension_pct,max_or_extension_atr,rvol_min,trades,wins,win_rate,profit_factor,expectancy_r,expectancy_ci_low,expectancy_ci_high,gross_pnl,charges,net_pnl,return_pct,max_drawdown_pct,avg_mfe_r,avg_mae_r
DEV,ON,,,1.5,343,121,0.35276967930029157,0.7263472976242046,-0.20286791751025443,-0.33767213859784995,-0.06837857912760435,-98860.34846412383,72522.36924139321,-171382.71770551708,-34.276543541103415,-36.426349427803714,1.0854883702712552,-0.9472603942149117
VALIDATION,ON,,,1.5,107,33,0.308411214953271,0.6483862173474018,-0.2679843585273355,-0.5016978959469895,-0.02918681979058553,-48300.47057746886,22594.828374654604,-70895.29895212346,-14.179059790424692,-15.802826421429703,1.0548237508132898,-0.9196490454989069
DEV,ON,,,3.0,265,92,0.3471698113207547,0.7162293940672771,-0.20999549119551,-0.3552717801400685,-0.04177346755859893,-81184.10572385824,56196.32143120558,-137380.4271550638,-27.47608543101276,-27.445425558652587,1.111599647509249,-0.9702011626254463
VALIDATION,ON,,,3.0,97,30,0.30927835051546393,0.5976732664022673,-0.306699581857327,-0.5353530316771731,-0.05156169703683014,-53776.482029835126,20119.220292259713,-73895.70232209483,-14.779140464418965,-17.012620171756147,1.0327321728181884,-0.937907008344903
DEV,ON,,0.5,1.5,207,75,0.36231884057971014,0.7649503733558746,-0.16389159420430086,-0.3409525507266209,0.007722333851514239,-43377.074349202936,40438.57209377784,-83815.6464429808,-16.76312928859616,-20.21414732043242,1.0637534092561927,-0.9147088925923901
VALIDATION,ON,,0.5,1.5,75,21,0.28,0.5499148076729077,-0.3521858977271737,-0.6241116770316567,-0.0638722430923568,-50273.88231702034,15481.405070541836,-65755.28738756219,-13.151057477512436,-15.199210998781995,0.8979336246142617,-0.9316169171048356
DEV,ON,,0.5,3.0,114,45,0.39473684210526316,0.8743738382424023,-0.08347108812701648,-0.3106693066119516,0.16198500068493213,-2085.2428966243433,20919.74274340551,-23004.98564002987,-4.600997128005974,-8.690257068300031,1.0983523334901648,-0.8864407215754782
VALIDATION,ON,,0.5,3.0,61,18,0.29508196721311475,0.5906153052392386,-0.3048181537467443,-0.6139400886572323,0.02387567955731888,-34567.43697517626,11751.26919198749,-46318.70616716376,-9.263741233432752,-11.19681533860436,0.9084111571132837,-0.907315058747314
DEV,ON,,0.25,1.5,152,50,0.32894736842105265,0.7129762179606476,-0.20421212317553467,-0.3885882305587579,0.005929636105454736,-47257.26479083504,29529.682873139904,-76786.94766397495,-15.35738953279499,-17.06787778573828,1.0327624666710893,-0.9153635964261526
VALIDATION,ON,,0.25,1.5,53,15,0.2830188679245283,0.5922544836909496,-0.2996771334365641,-0.6137958053689361,0.0490760757273855,-29316.833049494824,10070.546460364754,-39387.37950985957,-7.8774759019719145,-8.915743781207432,0.8789641579368261,-0.8724164595270122
DEV,ON,,0.25,3.0,78,27,0.34615384615384615,0.8089220319797777,-0.12843869082666395,-0.39279803815621966,0.15977717801970884,-10769.124731819424,13792.786780969338,-24561.91151278876,-4.912382302557751,-6.574656854000074,1.0797336640030786,-0.8656780087374187
VALIDATION,ON,,0.25,3.0,46,13,0.2826086956521739,0.5821124749555083,-0.3028812833032026,-0.6252998814635939,0.06729777576952357,-26051.366252529235,8440.210824017306,-34491.57707654655,-6.89831541530931,-7.6837039271935765,0.9135752648067389,-0.8868115254233816
DEV,ON,1.0,,1.5,303,117,0.38613861386138615,0.8574205717910517,-0.09961622261204059,-0.24986893055336357,0.05234446499628547,-9639.148382497286,64387.64204458736,-74026.79042708465,-14.80535808541693,-22.95594112880514,1.1087060261526345,-0.9239303016580258
VALIDATION,ON,1.0,,1.5,104,30,0.28846153846153844,0.5808346417279081,-0.3256521648915237,-0.5561269417791002,-0.07314381438704771,-61307.624305315556,22392.494467472905,-83700.11877278847,-16.740023754557694,-18.81494684725965,0.9876465287152316,-0.907098515698896
DEV,ON,1.0,,3.0,220,88,0.4,0.8959381875131817,-0.0708230197658453,-0.2522947812733143,0.1099046325211276,9659.491626713214,47973.21899420291,-38313.727367489686,-7.662745473497937,-12.268913045975227,1.1291584295542398,-0.9450358351996218
VALIDATION,ON,1.0,,3.0,93,27,0.2903225806451613,0.532480602854036,-0.36233834811097754,-0.6068900284356269,-0.11969989596434465,-63833.27275799446,19628.99968621205,-83462.2724442065,-16.6924544888413,-18.696002597259177,0.9700118854693235,-0.9227879851316293
DEV,ON,1.0,0.5,1.5,194,73,0.37628865979381443,0.8246710939053359,-0.11910450953661475,-0.29310581282499154,0.06612322775933825,-18644.1406942185,38588.97133683973,-57233.11203105823,-11.446622406211645,-16.47839187342159,1.0698400284421679,-0.9106817766568578
