split,gap_min,rvol_min,target_r,opening_range,trades,wins,win_rate,profit_factor,expectancy_r,expectancy_ci_low,expectancy_ci_high,net_pnl,return_pct,max_drawdown_pct,avg_mfe_r,avg_mae_r
DEV,1.0,1.5,1.5,15,343,134,0.39067055393586003,0.6861104310572846,-0.21978962789056228,-0.34798532575488317,-0.10312135404980832,-186124.65319098666,-37.224930638197335,-41.780275885831195,0.9424149733695638,-0.9118631181925833
VALIDATION,1.0,1.5,1.5,15,107,37,0.34579439252336447,0.5779609208143557,-0.3020462676710833,-0.498635734632834,-0.09317776105954834,-79967.15292788515,-15.993430585577032,-17.407484076426073,0.9053641055367653,-0.8839119089903851
DEV,1.0,1.5,2.0,15,343,121,0.35276967930029157,0.7263472976242046,-0.20286791751025443,-0.33767213859784995,-0.06837857912760435,-171382.71770551708,-34.276543541103415,-36.426349427803714,1.0854883702712552,-0.9472603942149117
VALIDATION,1.0,1.5,2.0,15,107,33,0.308411214953271,0.6483862173474018,-0.2679843585273355,-0.5016978959469895,-0.02918681979058553,-70895.29895212346,-14.179059790424692,-15.802826421429703,1.0548237508132898,-0.9196490454989069
DEV,1.0,1.5,2.5,15,343,108,0.31486880466472306,0.6888726653113204,-0.24391493848159596,-0.38869303416011963,-0.08702265689999049,-206228.080993635,-41.245616198727,-44.34074002205551,1.1741075184340939,-0.9840172307347903
VALIDATION,1.0,1.5,2.5,15,107,32,0.29906542056074764,0.6858627000223804,-0.23967437652400256,-0.5011734989544331,0.021004197841633557,-63408.99551140804,-12.681799102281607,-14.514270010293126,1.1446877352599263,-0.9196490454989069
DEV,1.0,3.0,1.5,15,265,106,0.4,0.705683323970952,-0.20152799831658785,-0.3413144590428896,-0.06120131265889512,-131686.18595105645,-26.337237190211294,-28.01106701786132,0.9869602688681125,-0.922355140921061
VALIDATION,1.0,3.0,1.5,15,97,34,0.35051546391752575,0.5663749415262607,-0.3087079172020044,-0.5194364955557911,-0.0780141129494637,-74269.10445602973,-14.853820891205945,-16.234058486519444,0.890616983847273,-0.8980824897377377
DEV,1.0,3.0,2.0,15,265,92,0.3471698113207547,0.7162293940672771,-0.20999549119551,-0.3552717801400685,-0.04177346755859893,-137380.4271550638,-27.47608543101276,-27.445425558652587,1.111599647509249,-0.9702011626254463
VALIDATION,1.0,3.0,2.0,15,97,30,0.30927835051546393,0.5976732664022673,-0.306699581857327,-0.5353530316771731,-0.05156169703683014,-73895.70232209483,-14.779140464418965,-17.012620171756147,1.0327321728181884,-0.937907008344903
DEV,1.0,3.0,2.5,15,265,82,0.30943396226415093,0.721274029613782,-0.21518799484193388,-0.37334830035802263,-0.025992330822781642,-140746.7636383815,-28.1493527276763,-29.29840125825831,1.2056486228583638,-0.9975757658156437
VALIDATION,1.0,3.0,2.5,15,97,29,0.29896907216494845,0.602058896762659,-0.30389000933208105,-0.5550359707628753,-0.04871356242050835,-73161.51623959106,-14.632303247918212,-16.435084260800757,1.1043070701544464,-0.937907008344903
DEV,1.0,5.0,1.5,15,177,67,0.3785310734463277,0.6576286875647884,-0.24495339219895138,-0.4109646089037797,-0.0720585110301648,-107277.12877657077,-21.455425755314153,-25.29110697801167,0.9026471557311362,-0.9598952664048445
VALIDATION,1.0,5.0,1.5,15,83,26,0.3132530120481928,0.4535505785951813,-0.41443696742303127,-0.6415907551345609,-0.20641918829728848,-85546.63155842944,-17.109326311685887,-18.987566572457226,0.8215152091146517,-0.9137851914493613
DEV,1.0,5.0,2.0,15,177,58,0.327683615819209,0.6975046766374454,-0.2286165284592672,-0.40242963899171486,-0.023296380781974768,-100059.56119134976,-20.011912238269954,-23.249789228070586,1.0443954260455224,-0.9956687789715356
VALIDATION,1.0,5.0,2.0,15,83,23,0.27710843373493976,0.4561078943887676,-0.43627198800551215,-0.6847169312675522,-0.16220216334310497,-90211.14988570564,-18.042229977141126,-19.935377525241243,0.945932950206261,-0.9476833384641263
DEV,1.0,5.0,2.5,15,177,52,0.2937853107344633,0.7139588470574486,-0.22709246902682023,-0.43668120827357904,-0.009644619456706431,-99190.63034276072,-19.838126068552146,-23.05645312828362,1.1466958567486871,-1.0333106288949236
VALIDATION,1.0,5.0,2.5,15,83,22,0.26506024096385544,0.4276450568200957,-0.46058679342445535,-0.7104773654284819,-0.1836030708151219,-95080.10729266446,-19.01602145853289,-19.67537017758495,0.990445892349673,-0.9476833384641267
DEV,1.5,1.5,1.5,15,146,56,0.3835616438356164,0.7042593492932125,-0.2005000433334317,-0.3869233868756961,-0.0036196549936503876,-72510.70529442771,-14.502141058885542,-20.856031512016067,0.899814307226533,-0.8927380082926316
VALIDATION,1.5,1.5,1.5,15,51,17,0.3333333333333333,0.5757423640540943,-0.2951551869743013,-0.6057656086536184,0.010629410370210575,-37371.47640804461,-7.4742952816089225,-8.716290215140308,0.9215942999566938,-0.9069138888542336
DEV,1.5,1.5,2.0,15,146,50,0.3424657534246575,0.7252484664414458,-0.19511023372310626,-0.4039659001274701,0.013832725442556412,-70899.00998227141,-14.179801996454284,-18.456748883081108,1.0348800209720836,-0.9278038923560612
VALIDATION,1.5,1.5,2.0,15,51,16,0.3137254901960784,0.688746144689414,-0.22369522639372377,-0.5829004418591283,0.135519191200432,-28320.473856764278,-5.664094771352855,-7.286195130742648,1.1040833841796125,-0.9244442682048126
DEV,1.5,1.5,2.5,15,146,44,0.3013698630136986,0.6658964013446762,-0.2520901105800253,-0.4700313831899254,-0.026168679569219255,-91529.55829273419,-18.30591165854684,-24.298536560200134,1.1235154379696868,-0.9753884063133974
VALIDATION,1.5,1.5,2.5,15,51,16,0.3137254901960784,0.7510154346403384,-0.17953949444422068,-0.5525436617027819,0.21600753333577113,-22664.404057354015,-4.532880811470803,-6.397775332813335,1.1742658925427483,-0.9244442682048126
DEV,1.5,3.0,1.5,15,115,48,0.41739130434782606,0.8065603510971,-0.12392117392981382,-0.34046863086182994,0.10207819089328969,-35230.583437339126,-7.046116687467825,-12.958681988482354,0.966107622674004,-0.8693304660048067
VALIDATION,1.5,3.0,1.5,15,50,17,0.34,0.5769404562937003,-0.29950317215988403,-0.6395973054938457,0.007708504627376773,-37188.55276193208,-7.437710552386416,-8.846755394402402,0.92683997688052,-0.9233615743761967
DEV,1.5,3.0,2.0,15,115,42,0.3652173913043478,0.81926225815718,-0.12242966586987956,-0.3594823958409229,0.1352938038386588,-35250.78809788634,-7.050157619577267,-13.899192401421889,1.0961677444521047,-0.9138488927288131
VALIDATION,1.5,3.0,2.0,15,50,16,0.32,0.6901335943712819,-0.22661401236769504,-0.5729539804051383,0.1486857650286724,-28137.550210651745,-5.627510042130349,-7.700795733811579,1.1129788427878968,-0.9412425613137873
DEV,1.5,3.0,2.5,15,115,37,0.3217391304347826,0.7933901372129029,-0.1479010226753106,-0.4004378881417155,0.11036028360375554,-42389.322816239284,-8.477864563247858,-15.933951021529142,1.2051575393530263,-0.9567629020789352
VALIDATION,1.5,3.0,2.5,15,50,16,0.32,0.7525276736834668,-0.18157516577920185,-0.5851906895657178,0.22244643312134407,-22481.480411241482,-4.496296082248296,-6.360997209951844,1.1845650013182953,-0.9412425613137873
DEV,1.5,5.0,1.5,15,85,34,0.4,0.748856399596447,-0.17045463497740693,-0.4086020406618863,0.0859818606391059,-36129.49217215329,-7.2258984344306585,-12.174827982429443,0.9248301936905005,-0.9093406335828259
VALIDATION,1.5,5.0,1.5,15,49,15,0.30612244897959184,0.478886062435367,-0.393384460499647,-0.6922531206817112,-0.10278534553108674,-47891.24388916556,-9.578248777833112,-10.930269037548536,0.8543300845881798,-0.9377160530310001
DEV,1.5,5.0,2.0,15,85,30,0.35294117647058826,0.8062502873257721,-0.1380055616860661,-0.40568220393612087,0.12877239549733407,-29329.336788317934,-5.8658673576635865,-11.683547695645386,1.070735515231404,-0.9532477063317679
VALIDATION,1.5,5.0,2.0,15,49,14,0.2857142857142857,0.5309820805254873,-0.36511942857417146,-0.7012827155491053,-0.02368845400193126,-44449.68268573316,-8.889936537146632,-10.45353531768718,1.001937608324658,-0.9559619580693578
DEV,1.5,5.0,2.5,15,85,25,0.29411764705882354,0.7174399679170981,-0.22005046485779514,-0.5088175681287331,0.07587529343730398,-46416.65996365431,-9.283331992730862,-15.99709829670894,1.1800977466138498,-1.0206199130172553
VALIDATION,1.5,5.0,2.5,15,49,14,0.2857142857142857,0.5511945569930083,-0.3497553321664797,-0.7092572700983648,0.007799468205692371,-42540.46803991129,-8.508093607982259,-9.856857120025776,1.0590946481160957,-0.9559619580693578
DEV,2.0,1.5,1.5,15,63,20,0.31746031746031744,0.5659412753179239,-0.3097352443449099,-0.578390433937882,-0.04003979942061981,-48856.67247106859,-9.771334494213718,-11.435147735404213,0.846270269951735,-0.8768773441654552
VALIDATION,2.0,1.5,1.5,15,35,12,0.34285714285714286,0.5728354343913181,-0.2875658791518573,-0.6667150747571111,0.07860413802898722,-25112.27514092524,-5.022455028185048,-6.013280024544646,0.9292945973054527,-0.8526808937869609
DEV,2.0,1.5,2.0,15,63,17,0.2698412698412698,0.5306796574631706,-0.3470285975589382,-0.640906878360349,-0.05584808280196498,-54772.69960797325,-10.95453992159465,-13.294699980886548,0.9644600947337569,-0.9241642085056871
VALIDATION,2.0,1.5,2.0,15,35,11,0.3142857142857143,0.6389792911655775,-0.2548197358601799,-0.6244816355466359,0.15590662357621132,-22257.653374569087,-4.451530674913817,-5.077688637100329,1.0930811792590032,-0.8782251608406617
DEV,2.0,1.5,2.5,15,63,15,0.23809523809523808,0.4628056269665261,-0.41763189287409164,-0.7272991890414209,-0.12954894657972396,-65796.7477959981,-13.15934955919962,-15.45487627207197,1.0236822783209232,-0.959477424962339
VALIDATION,2.0,1.5,2.5,15,35,11,0.3142857142857143,0.7473419298139916,-0.17805517770248847,-0.5993875408525378,0.2800976022454078,-15578.834736928002,-3.1157669473856,-4.345226354003695,1.1612627711247558,-0.8782251608406617
DEV,2.0,3.0,1.5,15,48,18,0.375,0.7030004588546447,-0.1920639490621682,-0.49964543019660934,0.1412556475696912,-23105.133338899737,-4.621026667779947,-7.1949323725111745,0.9334694569663063,-0.8533293213301265
VALIDATION,2.0,3.0,1.5,15,35,12,0.34285714285714286,0.5474974084301587,-0.31864592327417096,-0.7089812662424345,0.04864157146956918,-27832.98073984685,-5.56659614796937,-6.552047426754661,0.9164500720218505,-0.8769023046754477
DEV,2.0,3.0,2.0,15,48,15,0.3125,0.6237974565818545,-0.25603231406201216,-0.5930073048540077,0.09857948167784952,-30848.544069415337,-6.169708813883068,-8.641771009456946,1.0239277412729324,-0.9153933307766811
VALIDATION,2.0,3.0,2.0,15,35,11,0.3142857142857143,0.611972904339332,-0.2858997799824936,-0.6691383104391004,0.13839031117009976,-24978.358973490696,-4.995671794698139,-5.619843685549575,1.0802366539754011,-0.9024465717291486
DEV,2.0,3.0,2.5,15,48,14,0.2916666666666667,0.5889262122948825,-0.29049848215981033,-0.6194899213008679,0.053390852826860145,-34861.24769968867,-6.972249539937733,-9.570750960809999,1.1065495967589625,-0.9352730501218196
VALIDATION,2.0,3.0,2.5,15,35,11,0.3142857142857143,0.7157594069487065,-0.20913522182480207,-0.6526711518838866,0.24215380338030865,-18299.540335849608,-3.659908067169922,-4.368825841237887,1.1484182458411538,-0.9024465717291486
DEV,2.0,5.0,1.5,15,34,11,0.3235294117647059,0.5498954158025454,-0.3292747148702991,-0.6956817940467296,0.03878494732688137,-27920.1991783244,-5.58403983566488,-6.522443601845729,0.8644957493426377,-0.9211613057400341
VALIDATION,2.0,5.0,1.5,15,34,12,0.35294117647058826,0.5767516265956105,-0.29136694438936517,-0.6446914529684052,0.060058780531327925,-24738.88955002229,-4.947777910004458,-6.51204137578405,0.8939264067937817,-0.853259702709866
DEV,2.0,5.0,2.0,15,34,9,0.2647058823529412,0.5209926284453714,-0.35819692441356515,-0.734102115677499,0.020835079931688653,-30441.45822133224,-6.088291644266448,-8.211156318258826,0.9519591494607313,-0.9772853148009875
VALIDATION,2.0,5.0,2.0,15,34,11,0.3235294117647059,0.592210283852499,-0.2947163425754522,-0.6988676008748174,0.11526357218994089,-25003.126202266827,-5.000625240453365,-5.758747563680056,1.0542776917094188,-0.8795552717357342
DEV,2.0,5.0,2.5,15,34,7,0.20588235294117646,0.37274975398714927,-0.5125567290086348,-0.8821729774099099,-0.1040913757268255,-43398.05486730891,-8.67961097346178,-10.070640085182319,1.0148109129897582,-1.0325203820940279
VALIDATION,2.0,5.0,2.5,15,34,11,0.3235294117647059,0.6810540453855387,-0.23038832560596073,-0.6676689568991468,0.2144851395103128,-19558.249321042513,-3.9116498642085022,-4.905283844136268,1.110210220919861,-0.8795552717357343
