symbol,rows,sessions,first_date,last_date,sma_ready_sessions,rvol_ready_sessions,complete_feature_sessions,sma_ready_pct,rvol_ready_pct,complete_ready_pct
AXISBANK,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
BHARTIARTL,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
HDFCBANK,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
ICICIBANK,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
INFY,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
ITC,55362,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
LT,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
RELIANCE,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
SBIN,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
TCS,55365,743,2023-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,543,731,541,73.0820995962315,98.3849259757739,72.8129205921938
