symbol,step,independent_bars,independent_sessions,cumulative_bars,cumulative_sessions
AXISBANK,complete_features,40512,541,40512,541
AXISBANK,time_window,47280,741,34624,541
AXISBANK,trend_prev_close_gt_sma,27399,367,23360,365
AXISBANK,gap,3300,44,1536,24
AXISBANK,prev_day_high_break,12264,313,866,19
AXISBANK,opening_range_break,13840,423,332,10
AXISBANK,rvol,9419,699,149,9
BHARTIARTL,complete_features,40512,541,40512,541
BHARTIARTL,time_window,47280,741,34624,541
BHARTIARTL,trend_prev_close_gt_sma,31503,422,26880,420
BHARTIARTL,gap,3741,50,2048,32
BHARTIARTL,prev_day_high_break,12206,326,901,20
BHARTIARTL,opening_range_break,14016,439,328,13
BHARTIARTL,rvol,9542,688,107,13
HDFCBANK,complete_features,40512,541,40512,541
HDFCBANK,time_window,47280,741,34624,541
HDFCBANK,trend_prev_close_gt_sma,27849,373,23744,371
HDFCBANK,gap,3525,47,1280,20
HDFCBANK,prev_day_high_break,12363,330,737,15
HDFCBANK,opening_range_break,14760,428,217,7
HDFCBANK,rvol,9257,699,71,6
ICICIBANK,complete_features,40512,541,40512,541
ICICIBANK,time_window,47280,741,34624,541
ICICIBANK,trend_prev_close_gt_sma,29361,394,25088,392
ICICIBANK,gap,2844,38,1280,20
ICICIBANK,prev_day_high_break,12630,310,846,16
ICICIBANK,opening_range_break,13964,426,342,10
ICICIBANK,rvol,9317,708,123,9
INFY,complete_features,40512,541,40512,541
INFY,time_window,47280,741,34624,541
INFY,trend_prev_close_gt_sma,16212,217,13824,216
INFY,gap,5547,75,1216,19
INFY,prev_day_high_break,12749,295,659,12
INFY,opening_range_break,11551,355,218,5
INFY,rvol,9848,684,126,5
ITC,complete_features,40509,541,40509,541
ITC,time_window,47279,741,34623,541
ITC,trend_prev_close_gt_sma,14484,194,12351,193
ITC,gap,1719,23,447,7
ITC,prev_day_high_break,10107,275,329,6
ITC,opening_range_break,12306,389,181,6
ITC,rvol,9538,694,59,6
LT,complete_features,40512,541,40512,541
LT,time_window,47280,741,34624,541
LT,trend_prev_close_gt_sma,28464,382,24320,380
LT,gap,3000,40,1088,17
LT,prev_day_high_break,12709,317,652,13
LT,opening_range_break,13908,410,263,9
LT,rvol,9595,705,98,8
RELIANCE,complete_features,40512,541,40512,541
RELIANCE,time_window,47280,741,34624,541
RELIANCE,trend_prev_close_gt_sma,19662,263,16768,262
RELIANCE,gap,1575,21,256,4
RELIANCE,prev_day_high_break,12220,315,245,4
RELIANCE,opening_range_break,14136,442,95,4
RELIANCE,rvol,9219,691,30,4
SBIN,complete_features,40512,541,40512,541
SBIN,time_window,47280,741,34624,541
SBIN,trend_prev_close_gt_sma,32061,430,27392,428
SBIN,gap,2469,33,1216,19
SBIN,prev_day_high_break,12956,341,717,14
SBIN,opening_range_break,14155,450,158,6
SBIN,rvol,9421,699,72,6
TCS,complete_features,40512,541,40512,541
TCS,time_window,47280,741,34624,541
TCS,trend_prev_close_gt_sma,10575,141,9024,141
TCS,gap,3819,51,640,10
TCS,prev_day_high_break,11448,300,343,7
TCS,opening_range_break,11958,371,159,5
TCS,rvol,9662,686,103,5
