rvol_bucket,trades,wins,win_rate,net_pnl,avg_r,avg_mfe_r,avg_mae_r,profit_factor
1.5-2.0,22,5,0.22727272727272727,-32727.670244853754,-0.5987901770015455,0.6502035827462157,-1.0011580469689727,0.3805973132736661
2.0-3.0,18,8,0.4444444444444444,-4372.397983678085,-0.0961483759821507,0.9586482580876257,-0.843865746867137,0.8599446845329229
3.0-5.0,19,8,0.42105263157894735,-7821.883525892462,-0.16550458436466228,1.2132386252510226,-0.8676246446271529,0.7480721087548323
>=5.0,12,8,0.6666666666666666,9889.300179296592,0.32807214847535754,1.2677872184853705,-0.6989886507503301,1.8512226194864714
