year,trades,wins,win_rate,net_pnl,avg_r,avg_mfe_r,avg_mae_r,profit_factor
2024,23,10,0.43478260869565216,-2459.3826047282537,-0.043242409070080215,1.1030483976424583,-0.8744327253721226,0.9337858914656141
2025,32,11,0.34375,-37184.8058112992,-0.4673946626160456,0.8661738736539387,-0.9227037156001932,0.4326465152970554
2026,16,8,0.5,4611.536840899747,0.11496428933676879,1.046090679055331,-0.778082559442546,1.1918378210199325
