symbol,trades,wins,win_rate,net_pnl,avg_r,avg_mfe_r,avg_mae_r,profit_factor
TCS,5,4,0.8,12716.055026084598,1.0130453092454585,1.902503497531423,-0.7866841725820791,4.796344634103402
INFY,5,3,0.6,3278.269331569943,0.26652801373234275,1.0145358157211535,-0.9346118752471776,1.5107217665222508
AXISBANK,9,5,0.5555555555555556,3130.098956741545,0.1423619745644954,1.2358413698531512,-0.6797931231060075,1.2642806230658226
ICICIBANK,9,4,0.4444444444444444,-23.597712187282582,0.003793271322020903,1.0017114903740447,-0.7053292962750333,0.998294225863847
SBIN,6,3,0.5,-380.10848766907384,-0.0207317717288249,1.010292493306194,-0.7456145761215244,0.9604767084543836
RELIANCE,4,2,0.5,-1828.6571682119707,-0.18074767919918244,0.8719397288678981,-0.8098917953401277,0.6909452931390087
ITC,6,2,0.3333333333333333,-5965.178462091178,-0.3969421536173243,0.7052751991262095,-1.0653694201540471,0.47727625429863807
LT,8,2,0.25,-12657.58982005255,-0.6396633047452183,0.6967295627454461,-1.0281439895984343,0.29675255788493277
HDFCBANK,6,1,0.16666666666666666,-15236.710674438396,-1.0288753864650233,0.5856543576749588,-1.0002613621110166,0.0025422162153844077
BHARTIARTL,13,3,0.23076923076923078,-18065.232564873346,-0.5619574450137805,0.9410021493231461,-0.975616867061736,0.4182975647594403
