entry_time_bucket,trades,wins,win_rate,net_pnl,avg_r,avg_mfe_r,avg_mae_r,profit_factor
09:35,5,3,0.6,2423.5702392390726,0.19346693833262696,1.1348780475689828,-0.6872549052217893,1.4091200761940488
09:40,5,3,0.6,7545.458808197488,0.6104096033081365,1.3721417294781657,-0.6725085296139947,2.2752305903130603
09:45,6,3,0.5,1729.2964404111635,0.1322294355616199,1.4699076254694328,-0.7570114391346374,1.1982502706273732
09:50,4,3,0.75,-1006.0574609710749,-0.09942618936103868,0.8139388576470894,-0.5731181675214498,0.6393120009508146
09:55,4,1,0.25,-1667.3478263935026,-0.16807917272266454,0.8299534545170539,-0.8313126485365276,0.7379970093710984
10:00,5,1,0.2,-11440.056399677072,-0.9245425282804565,0.2492936640354373,-0.9994738396967211,0.0033830567449856753
10:05,5,1,0.2,-11258.494819997386,-0.9130168572946996,0.5276455563104773,-1.0121158713265175,0.03253227714559076
10:10,4,1,0.25,-7694.163244333728,-0.7661718916274809,0.6381692422479635,-1.0915332854552802,0.11256550375264172
10:25,1,0,0.0,-3002.165743357037,-1.2081010970554547,0.4962951388888972,-1.0349548611111037,0.0
10:30,7,3,0.42857142857142855,-2712.7815806530766,-0.1548039243621939,0.9090422298271247,-0.9121781590056897,0.7771507925510959
10:35,3,1,0.3333333333333333,-1732.577378397581,-0.22429212336091697,0.6986774772356174,-0.7934860506536084,0.7188277168450055
10:55,1,0,0.0,-2983.3220180364574,-1.2018136113104212,-0.0887516869095762,-1.0145276653170976,0.0
11:20,3,0,0.0,-10316.270377364877,-1.4092321360289264,1.3092422369300574,-1.19653744709653,0.0
11:30,3,0,0.0,-9992.77812412459,-1.3443220051379356,0.1533177292778705,-1.0830012491306487,0.0
11:50,1,1,1.0,4152.055611936546,1.6474449914440599,2.084752688172037,-0.904494623655881,
12:05,1,1,1.0,4462.359458954281,1.8080532875295958,2.099728682170548,-0.958763213530651,
12:15,1,1,1.0,4339.562675407137,1.7084183784755909,3.2161222179339353,-0.9192180625240572,
12:35,1,0,0.0,-3459.7179128948055,-1.4177138168274541,0.11078160919545596,-1.2225517241378947,0.0
13:20,1,0,0.0,-3266.943627379314,-1.2867881166932633,-0.10596179913739674,-1.106577942082551,0.0
13:30,1,1,1.0,4222.281878803099,1.6931310666358075,2.1591653261841297,-0.4181358355674462,
13:40,1,1,1.0,3709.6990702263665,1.493089859538311,2.4270854700854056,-0.604253561253531,
13:55,1,0,0.0,-3349.55233301357,-1.3140882689950655,0.12782564986360206,-1.0544233807266412,0.0
14:10,1,1,1.0,4263.891699794659,1.7292523782205538,2.865021317829477,-0.24608979328162037,
14:25,2,2,1.0,8367.158229533945,1.6862353458725594,2.3861524316145437,-0.33774656465803177,
14:30,1,0,0.0,-3365.924622712339,-1.37244632934244,-0.2075596330275013,-1.3635229357798127,0.0
14:35,1,0,0.0,-3578.378896469082,-1.4410187357060378,0.3756566091953927,-1.2335387931034705,0.0
14:50,2,1,0.5,578.5466781440282,0.10262311233488397,1.1390833086817693,-1.1721174443098779,1.162084725510272
