gap_bucket,trades,wins,win_rate,net_pnl,avg_r,avg_mfe_r,avg_mae_r,profit_factor
1.0-1.5,45,17,0.37777777777777777,-31649.860949094655,-0.2829615190791425,0.9848049242300896,-0.8995800450779045,0.6375422482937761
1.5-2.0,12,7,0.5833333333333334,8954.604963461901,0.29643616302357323,1.2508229012330445,-0.7709921510766504,1.6154324085384968
2.0-3.0,9,3,0.3333333333333333,-9166.08451657068,-0.4076979147353336,0.8524069142226508,-0.8758500771906507,0.43624945206875787
3.0-5.0,3,2,0.6666666666666666,2501.0997576213067,0.3385717908338304,0.9427129330402698,-0.6674924811661295,1.8563513535743268
>=5.0,2,0,0.0,-5672.410830545586,-1.1410878602709795,-0.00038473234367508713,-1.2348282771029913,0.0
