month,trades,wins,win_rate,net_pnl,avg_r,avg_mfe_r,avg_mae_r,profit_factor
2024-06,1,0,0.0,-3078.4887449937137,-1.2327867859416408,0.11920423048866731,-1.0755441283734792,0.0
2024-07,4,2,0.5,2781.529566558139,0.276068383757276,1.4122004322035642,-0.8053748599389499,1.430062351387613
2024-08,5,2,0.4,-1848.3932853427941,-0.1532678975013691,1.0184678903332147,-0.9559097064045299,0.7918953022793993
2024-09,1,1,1.0,4263.891699794659,1.7292523782205538,2.865021317829477,-0.24608979328162037,
2024-10,3,0,0.0,-6230.135851760865,-0.8323205554216527,0.7488636332396075,-0.9932749910457588,0.0
2024-11,5,3,0.6,-806.2184949238474,-0.06539905496567708,0.6996302523441345,-0.8836005728649985,0.8685391537776499
2024-12,4,2,0.5,2458.432505940169,0.24874547317008178,1.4750010638846436,-0.8478607381657506,1.387050003854221
2025-01,2,1,0.5,1784.4094097738284,0.36966889122468904,1.052554329501897,-0.8229841183284341,1.6635739963191607
2025-03,4,2,0.5,2569.2814226189366,0.25875446945352526,1.2193676243857134,-0.7117763109054325,1.424489367394437
2025-04,3,0,0.0,-9383.555721501958,-1.2591451593847467,0.4359698068723064,-1.158319280474545,0.0
2025-05,9,4,0.4444444444444444,-5337.484980811495,-0.23719589203465313,0.8309141933870171,-0.8661620373136172,0.6324124408473862
2025-06,3,1,0.3333333333333333,-5865.919609352106,-0.7836933632176505,0.8016825926034451,-0.8553424546177547,0.10876098611458566
2025-07,3,1,0.3333333333333333,-6148.712308909049,-0.8338412642838033,0.6936128936913358,-1.0162968704719877,0.10325187717469615
2025-08,2,0,0.0,-6477.765105950432,-1.3125403446058492,0.9665211001930459,-1.2114340966251107,0.0
2025-10,3,1,0.3333333333333333,-5986.889924085592,-0.8138136725085614,0.9425165000426851,-1.0036001284268798,0.05947408951671117
2025-11,1,0,0.0,-3461.5920931714077,-1.4331680005322296,0.5424884488449402,-1.0053663366334866,0.0
2025-12,2,1,0.5,1123.4231000900727,0.2667536161315761,1.0799405155179438,-0.8545381756239087,1.3564214705476796
2026-01,3,2,0.6666666666666666,-312.81339177469727,-0.044171408111889944,0.842025031199079,-0.6579418860181435,0.894315272437106
2026-02,2,0,0.0,-5788.042693044146,-1.1796020024651797,-0.07315428148535275,-1.0787700578990644,0.0
2026-03,1,1,1.0,4522.003141931794,1.848032343376401,2.171046311702743,-0.6631189683860094,
2026-04,5,2,0.4,-172.24311421146876,-0.013442000469270798,0.892379471476478,-0.900398705642095,0.9809970149474274
2026-05,3,2,0.6666666666666666,5125.827091430283,0.6931775347954989,1.6028835140805056,-0.5587281624468979,2.5813956899291526
2026-06,2,1,0.5,1236.805806567982,0.235395956618893,1.458045061466058,-0.7383290966454987,1.4142742318621333
