gap_min,rvol_min,target_r,opening_range,trades_dev,trades_validation,wins_dev,wins_validation,win_rate_dev,win_rate_validation,profit_factor_dev,profit_factor_validation,expectancy_r_dev,expectancy_r_validation,expectancy_ci_low_dev,expectancy_ci_low_validation,expectancy_ci_high_dev,expectancy_ci_high_validation,net_pnl_dev,net_pnl_validation,return_pct_dev,return_pct_validation,max_drawdown_pct_dev,max_drawdown_pct_validation,avg_mfe_r_dev,avg_mfe_r_validation,avg_mae_r_dev,avg_mae_r_validation,passes_min_trades,positive_both,ci_positive_both,robust_gate,worst_split_expectancy_r,total_trades_dev_validation
1.5,3.0,2.0,15,11,0,7,0,0.6363636363636364,0.0,2.187647281529845,,0.3977131125865085,,-0.3415754305202748,,1.1163259309458498,,10898.943644625666,0.0,2.1797887289251334,0.0,-1.0022116361925784,0.0,1.3428174940734587,,-0.6877095859617218,,False,False,False,False,0.3977131125865085,11
1.5,3.0,1.5,15,11,0,7,0,0.6363636363636364,0.0,1.9500082220722879,,0.31864128340955505,,-0.33998544841730616,,0.9211533879922366,,8718.149096387835,0.0,1.743629819277567,0.0,-1.007146314545278,0.0,1.1565669814069652,,-0.6877095859617218,,False,False,False,False,0.31864128340955505,11
1.5,3.0,2.5,15,11,0,6,0,0.5454545454545454,0.0,1.7573481222247238,,0.30300426131375835,,-0.4700577187441013,,1.1446007805336176,,8310.110836331361,0.0,1.6620221672662723,0.0,-1.3481912426226321,0.0,1.5758843087906789,,-0.7435040988532655,,False,False,False,False,0.30300426131375835,11
1.5,5.0,2.0,15,9,0,4,0,0.4444444444444444,0.0,1.420688152348639,,0.2337809256282855,,-0.730781620942106,,1.1481855196223465,,5235.1315429912875,0.0,1.0470263085982576,0.0,-2.3435060368284204,0.0,1.2953063996173926,,-0.7555860572280144,,False,False,False,False,0.2337809256282855,9
1.0,5.0,1.5,15,13,6,7,5,0.5384615384615384,0.8333333333333334,1.3422487276723385,3.1686054346024073,0.16036134476431327,0.47416105596099883,-0.48422317805634263,-0.3553718474151595,0.7709978190486406,1.098386000206622,5253.1342014690745,7120.864999698718,1.0506268402938148,1.4241729999397437,-1.8119681918106347,-0.651439038465161,1.1928753435340014,1.1571669309597816,-0.7630465319339456,-0.6138256153780145,False,True,False,False,0.16036134476431327,19
1.5,5.0,2.5,15,9,0,3,0,0.3333333333333333,0.0,1.1883498545492555,,0.11802566296158847,,-0.8242033032053685,,1.1622332283783614,,2680.3235030816663,0.0,0.5360647006163333,0.0,-2.681263482326153,0.0,1.5411163846065437,,-0.8237793507621234,,False,False,False,False,0.11802566296158847,9
1.5,5.0,1.5,15,9,0,4,0,0.4444444444444444,0.0,1.0204920567116018,,0.011733388492073412,,-0.7960689588253564,,0.7598822614408539,,255.00744880204672,0.0,0.051001489760409344,0.0,-2.3550439226898168,0.0,1.0235926892187155,,-0.7555860572280144,,False,False,False,False,0.011733388492073412,9
2.0,3.0,1.5,15,3,0,1,0,0.3333333333333333,0.0,1.0056101683631031,,0.004090320142735508,,-1.0803163049731732,,1.340915625074376,,18.59812195200675,0.0,0.0037196243904013496,0.0,-0.539765992744325,0.0,0.8648890724580826,,-0.7526383086883205,,False,False,False,False,0.004090320142735508,3
1.5,1.5,2.0,15,17,0,8,0,0.47058823529411764,0.0,0.9889555762943818,,-0.005875814528176145,,-0.5991406152604986,,0.6248553565370046,,-274.05138685715065,0.0,-0.05481027737143013,0.0,-2.188934590606515,0.0,1.0497799992487322,,-0.8340441168187288,,False,False,False,False,-0.005875814528176145,17
1.0,3.0,1.5,15,24,9,12,6,0.5,0.6666666666666666,0.8877403481777947,1.3032742405004913,-0.06317748648883052,0.1417869327760163,-0.5030569203590799,-0.6226127623381676,0.4068756893860748,0.9350579285731488,-3747.1019632110983,3128.306647060104,-0.7494203926422196,0.6256613294120208,-3.4035802941729476,-0.6845939614358586,1.0542077297082038,0.9719990612856707,-0.7975846919128745,-0.642357934191946,False,False,False,False,-0.06317748648883052,33
