split,gap_min,rvol_min,target_r,opening_range,trades,wins,win_rate,profit_factor,expectancy_r,expectancy_ci_low,expectancy_ci_high,net_pnl,return_pct,max_drawdown_pct,avg_mfe_r,avg_mae_r
DEV,1.0,1.5,1.5,15,44,18,0.4090909090909091,0.5952081965848369,-0.28141111190195356,-0.6139137480108544,0.04650848438651994,-30871.97801142806,-6.174395602285611,-6.819660812793647,0.8300057540392679,-0.8736697660212926
VALIDATION,1.0,1.5,1.5,15,11,5,0.45454545454545453,0.5081129954888066,-0.3608445580340724,-0.9785080707937932,0.3626813539091962,-9957.684986607957,-1.9915369973215917,-2.0688390070893425,0.7930042840842504,-0.8376578583477495
DEV,1.0,1.5,2.0,15,44,18,0.4090909090909091,0.7552364068288899,-0.17007950782880538,-0.5359999715992171,0.2081943583661279,-18692.65208400105,-3.73853041680021,-4.895011188260916,0.9896335736644001,-0.8736697660212925
VALIDATION,1.0,1.5,2.0,15,11,3,0.2727272727272727,0.2039058409367901,-0.7696551451760777,-1.3071252849634185,-0.06562078539758104,-21127.377766425387,-4.225475553285078,-4.552196928757733,0.867618169224453,-1.0179092616207388
DEV,1.0,1.5,2.5,15,44,16,0.36363636363636365,0.6414564148850497,-0.2667686728368604,-0.6476981290199999,0.09558649507554709,-29123.375601027758,-5.824675120205551,-7.886961161539048,1.0600437151809146,-0.9158063137072666
VALIDATION,1.0,1.5,2.5,15,11,3,0.2727272727272727,0.24960650707383894,-0.7242363307618485,-1.3071252849634185,0.08455919980029693,-19914.537266765277,-3.982907453353055,-4.552196928757733,0.9033438470553933,-1.0179092616207388
DEV,1.0,3.0,1.5,15,24,12,0.5,0.8877403481777947,-0.06317748648883052,-0.5030569203590799,0.4068756893860748,-3747.1019632110983,-0.7494203926422196,-3.4035802941729476,1.0542077297082038,-0.7975846919128745
VALIDATION,1.0,3.0,1.5,15,9,6,0.6666666666666666,1.3032742405004913,0.1417869327760163,-0.6226127623381676,0.9350579285731488,3128.306647060104,0.6256613294120208,-0.6845939614358586,0.9719990612856707,-0.642357934191946
DEV,1.0,3.0,2.0,15,24,12,0.5,1.1042157649835904,0.05633828204913522,-0.42351565604494057,0.5979411487579888,3479.3720841310833,0.6958744168262166,-2.899749309247326,1.262772053747404,-0.7975846919128745
VALIDATION,1.0,3.0,2.0,15,9,3,0.3333333333333333,0.27632688689119655,-0.6354052394749817,-1.2884090336840492,0.2117081014494081,-14322.742720200235,-2.864548544040047,-3.200076789356743,1.0654136121307445,-0.9722389295270022
DEV,1.0,3.0,2.5,15,24,11,0.4583333333333333,1.1668125344598637,0.09619670266295562,-0.4492417492706559,0.7396332092627944,5870.018045175653,1.1740036090351307,-3.3429031805687988,1.3946165286843806,-0.8231571769881655
VALIDATION,1.0,3.0,2.5,15,9,3,0.3333333333333333,0.173806756054417,-0.7278025431654436,-1.2884090336840492,-0.11858870898765894,-16351.793449069433,-3.2703586898138868,-3.200076789356743,1.089033761564342,-0.9722389295270022
DEV,1.0,5.0,1.5,15,13,7,0.5384615384615384,1.3422487276723385,0.16036134476431327,-0.48422317805634263,0.7709978190486406,5253.1342014690745,1.0506268402938148,-1.8119681918106347,1.1928753435340014,-0.7630465319339456
