symbol,status,rows,path,error
CIPLA,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_CIPLA_5minute_20230901_20260901.parquet,
COALINDIA,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_COALINDIA_5minute_20230901_20260901.parquet,
CUMMINSIND,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_CUMMINSIND_5minute_20230901_20260901.parquet,
DLF,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_DLF_5minute_20230901_20260901.parquet,
DIVISLAB,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_DIVISLAB_5minute_20230901_20260901.parquet,
DRREDDY,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_DRREDDY_5minute_20230901_20260901.parquet,
EICHERMOT,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_EICHERMOT_5minute_20230901_20260901.parquet,
ETERNAL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ETERNAL_5minute_20230901_20260901.parquet,
GAIL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_GAIL_5minute_20230901_20260901.parquet,
GODREJCP,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_GODREJCP_5minute_20230901_20260901.parquet,
GRASIM,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_GRASIM_5minute_20230901_20260901.parquet,
HCLTECH,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HCLTECH_5minute_20230901_20260901.parquet,
HDFCAMC,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HDFCAMC_5minute_20230901_20260901.parquet,
HDFCBANK,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HDFCBANK_5minute_20230901_20260901.parquet,
HDFCLIFE,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HDFCLIFE_5minute_20230901_20260901.parquet,
HINDALCO,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HINDALCO_5minute_20230901_20260901.parquet,
HAL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HAL_5minute_20230901_20260901.parquet,
HINDUNILVR,ok,55361,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HINDUNILVR_5minute_20230901_20260901.parquet,
HINDZINC,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HINDZINC_5minute_20230901_20260901.parquet,
HYUNDAI,ok,34382,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_HYUNDAI_5minute_20230901_20260901.parquet,
ICICIBANK,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ICICIBANK_5minute_20230901_20260901.parquet,
ITC,ok,55362,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ITC_5minute_20230901_20260901.parquet,
INDHOTEL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_INDHOTEL_5minute_20230901_20260901.parquet,
IOC,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_IOC_5minute_20230901_20260901.parquet,
IRFC,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_IRFC_5minute_20230901_20260901.parquet,
INFY,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_INFY_5minute_20230901_20260901.parquet,
INDIGO,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_INDIGO_5minute_20230901_20260901.parquet,
JSWSTEEL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_JSWSTEEL_5minute_20230901_20260901.parquet,
JINDALSTEL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_JINDALSTEL_5minute_20230901_20260901.parquet,
JIOFIN,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_JIOFIN_5minute_20230901_20260901.parquet,
KOTAKBANK,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_KOTAKBANK_5minute_20230901_20260901.parquet,
LTM,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_LTM_5minute_20230901_20260901.parquet,
LT,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_LT_5minute_20230901_20260901.parquet,
LODHA,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_LODHA_5minute_20230901_20260901.parquet,
M&M,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_M&M_5minute_20230901_20260901.parquet,
MARUTI,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_MARUTI_5minute_20230901_20260901.parquet,
MAXHEALTH,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_MAXHEALTH_5minute_20230901_20260901.parquet,
MAZDOCK,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_MAZDOCK_5minute_20230901_20260901.parquet,
MUTHOOTFIN,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_MUTHOOTFIN_5minute_20230901_20260901.parquet,
NTPC,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_NTPC_5minute_20230901_20260901.parquet,
NESTLEIND,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_NESTLEIND_5minute_20230901_20260901.parquet,
ONGC,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ONGC_5minute_20230901_20260901.parquet,
PIDILITIND,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_PIDILITIND_5minute_20230901_20260901.parquet,
PFC,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_PFC_5minute_20230901_20260901.parquet,
POWERGRID,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_POWERGRID_5minute_20230901_20260901.parquet,
PNB,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_PNB_5minute_20230901_20260901.parquet,
RECLTD,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_RECLTD_5minute_20230901_20260901.parquet,
RELIANCE,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_RELIANCE_5minute_20230901_20260901.parquet,
SBILIFE,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_SBILIFE_5minute_20230901_20260901.parquet,
MOTHERSON,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_MOTHERSON_5minute_20230901_20260901.parquet,
SHREECEM,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_SHREECEM_5minute_20230901_20260901.parquet,
SHRIRAMFIN,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_SHRIRAMFIN_5minute_20230901_20260901.parquet,
ENRIN,ok,22281,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ENRIN_5minute_20230901_20260901.parquet,
SIEMENS,ok,55362,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_SIEMENS_5minute_20230901_20260901.parquet,
SOLARINDS,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_SOLARINDS_5minute_20230901_20260901.parquet,
SBIN,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_SBIN_5minute_20230901_20260901.parquet,
SUNPHARMA,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_SUNPHARMA_5minute_20230901_20260901.parquet,
TVSMOTOR,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TVSMOTOR_5minute_20230901_20260901.parquet,
TATACAP,ok,16353,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TATACAP_5minute_20230901_20260901.parquet,
TCS,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TCS_5minute_20230901_20260901.parquet,
TATACONSUM,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TATACONSUM_5minute_20230901_20260901.parquet,
TMCV,ok,14919,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TMCV_5minute_20230901_20260901.parquet,
TMPV,ok,55361,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TMPV_5minute_20230901_20260901.parquet,
TATAPOWER,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TATAPOWER_5minute_20230901_20260901.parquet,
TATASTEEL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TATASTEEL_5minute_20230901_20260901.parquet,
TECHM,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TECHM_5minute_20230901_20260901.parquet,
TITAN,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TITAN_5minute_20230901_20260901.parquet,
TORNTPHARM,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TORNTPHARM_5minute_20230901_20260901.parquet,
TRENT,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_TRENT_5minute_20230901_20260901.parquet,
ULTRACEMCO,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ULTRACEMCO_5minute_20230901_20260901.parquet,
UNIONBANK,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_UNIONBANK_5minute_20230901_20260901.parquet,
UNITDSPR,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_UNITDSPR_5minute_20230901_20260901.parquet,
VBL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_VBL_5minute_20230901_20260901.parquet,
VEDL,ok,55362,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_VEDL_5minute_20230901_20260901.parquet,
WIPRO,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_WIPRO_5minute_20230901_20260901.parquet,
ZYDUSLIFE,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ZYDUSLIFE_5minute_20230901_20260901.parquet,
