symbol,status,rows,path,error
ABB,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ABB_5minute_20230901_20260901.parquet,
ADANIENSOL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ADANIENSOL_5minute_20230901_20260901.parquet,
ADANIENT,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ADANIENT_5minute_20230901_20260901.parquet,
ADANIGREEN,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ADANIGREEN_5minute_20230901_20260901.parquet,
ADANIPORTS,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ADANIPORTS_5minute_20230901_20260901.parquet,
ADANIPOWER,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ADANIPOWER_5minute_20230901_20260901.parquet,
AMBUJACEM,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_AMBUJACEM_5minute_20230901_20260901.parquet,
APOLLOHOSP,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_APOLLOHOSP_5minute_20230901_20260901.parquet,
ASIANPAINT,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_ASIANPAINT_5minute_20230901_20260901.parquet,
DMART,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_DMART_5minute_20230901_20260901.parquet,
AXISBANK,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_AXISBANK_5minute_20230901_20260901.parquet,
BAJAJ-AUTO,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BAJAJ-AUTO_5minute_20230901_20260901.parquet,
BAJFINANCE,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BAJFINANCE_5minute_20230901_20260901.parquet,
BAJAJFINSV,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BAJAJFINSV_5minute_20230901_20260901.parquet,
BAJAJHLDNG,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BAJAJHLDNG_5minute_20230901_20260901.parquet,
BANKBARODA,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BANKBARODA_5minute_20230901_20260901.parquet,
BEL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BEL_5minute_20230901_20260901.parquet,
BPCL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BPCL_5minute_20230901_20260901.parquet,
BHARTIARTL,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BHARTIARTL_5minute_20230901_20260901.parquet,
BOSCHLTD,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BOSCHLTD_5minute_20230901_20260901.parquet,
BRITANNIA,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_BRITANNIA_5minute_20230901_20260901.parquet,
CGPOWER,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_CGPOWER_5minute_20230901_20260901.parquet,
CANBK,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_CANBK_5minute_20230901_20260901.parquet,
CHOLAFIN,ok,55365,/Users/harshshivhare/Desktop/HARSH-NSE-TRADING-SYSTEM/data/NSE_CHOLAFIN_5minute_20230901_20260901.parquet,
