month,trades,net_pnl,avg_r
2024-07,2,9301.940376838174,1.862342523796096
2024-10,2,-3587.388637644046,-0.7180356404374016
2024-11,2,1178.5909655538087,0.23700880988662915
2025-01,2,1839.4351147560033,0.36982047768680926
2025-03,1,4532.663645940649,1.8168679033454147
2025-05,1,527.7475281226552,0.21227791179492045
2025-06,1,-2894.0453489415777,-1.1565739185530086
2026-01,3,-307.93413007469144,-0.044026305648548814
2026-02,1,-3002.1031823309336,-1.2016927580866616
2026-04,3,-131.15896720614228,-0.015689883856938442
2026-06,1,-3006.614749013787,-1.2222011174852883
