symbol,trades,net_pnl,avg_r,avg_mfe_r,avg_mae_r,win_rate
INFY,2,5597.783840541221,1.1200737923222115,1.4259980795125413,-0.5287662413619385,1.0
TCS,1,4696.502534212181,1.8801911181733888,2.141051677990532,-0.4473773934527433,1.0
BHARTIARTL,1,4532.663645940649,1.8168679033454147,2.0009232966136765,-0.7522386780905579,1.0
ICICIBANK,2,3915.332626222902,0.7858144503368978,1.5068439615808338,-0.37748848194571266,0.5
SBIN,3,1847.4486135318944,0.25017800145673275,0.9634614675561309,-0.7274682055663536,0.6666666666666666
AXISBANK,2,-1353.5392293222062,-0.26849875436443793,1.4339175481580455,-0.7516606705157023,0.5
ITC,2,-2167.7381095983596,-0.43401919658912635,0.7990528654970741,-0.8468886549707598,0.5
HDFCBANK,1,-2967.80051138993,-1.1877429212018071,1.4140458640458944,-1.154340704340696,0.0
LT,5,-9649.520794138238,-0.7789577787470209,0.6076213252278644,-0.9953724197332926,0.2
