split,snapshot_time,cohort,events,avg_excess_vs_median_pct,avg_rvol,above_vwap_rate,horizon_min,avg_fwd_atr,median_fwd_atr,positive_rate,ci_low,ci_high
DEV,09:45,TOP5,2249,2.33775501528154,3.2355929252331905,0.8811529933481153,15,-0.02014011477852262,-0.04713804713803099,0.4619831036016007,-0.06400595078023093,0.020183000722872192
DEV,09:45,TOP5,2249,2.33775501528154,3.2355929252331905,0.8811529933481153,30,-0.031534767488066724,-0.09512254307207618,0.45264562027567806,-0.08577248712141212,0.02239912392123059
DEV,09:45,TOP5,2249,2.33775501528154,3.2355929252331905,0.8811529933481153,60,-0.04638740481862588,-0.14016629899880498,0.45664739884393063,-0.11381082450027402,0.022489071691759715
DEV,09:45,TOP5,2249,2.33775501528154,3.2355929252331905,0.8811529933481153,120,-0.028266817139468985,-0.18030743664311874,0.45975989328590483,-0.11760933809389877,0.06583442632716122
DEV,09:45,TOP10,4498,1.844616873608094,2.404783454155532,0.8505211798624972,15,-0.044599542372616215,-0.059481583768797766,0.4619831036016007,-0.0743435560545658,-0.016360365290571412
DEV,09:45,TOP10,4498,1.844616873608094,2.404783454155532,0.8505211798624972,30,-0.04567177752656904,-0.10741758241760786,0.4490884837705647,-0.08043343414910913,-0.009069151907410098
DEV,09:45,TOP10,4498,1.844616873608094,2.404783454155532,0.8505211798624972,60,-0.05100983699171769,-0.12832004736542776,0.456425077812361,-0.09948959287030076,0.00154067949041758
DEV,09:45,TOP10,4498,1.844616873608094,2.404783454155532,0.8505211798624972,120,-0.03877620587134995,-0.17222835095264233,0.4573143619386394,-0.10673468909951764,0.0298022226923828
DEV,09:45,TOP20,8995,1.366034017889709,1.7847581013418183,0.79924578527063,15,-0.037973857320996986,-0.04778156996585409,0.4653696498054475,-0.059500181334460646,-0.017274467325913524
DEV,09:45,TOP20,8995,1.366034017889709,1.7847581013418183,0.79924578527063,30,-0.04916482923977903,-0.10287539936101016,0.45403001667593107,-0.07826290297312179,-0.022587894544097313
DEV,09:45,TOP20,8995,1.366034017889709,1.7847581013418183,0.79924578527063,60,-0.05122749491302013,-0.10937499999997113,0.46203446359088385,-0.08770469294979487,-0.01607615396608417
DEV,09:45,TOP20,8995,1.366034017889709,1.7847581013418183,0.79924578527063,120,-0.0419751013873233,-0.15452538631346632,0.4614785992217899,-0.08807659471184447,0.0011006813940633423
DEV,10:00,TOP5,2238,2.4991716834714475,3.057363691682848,0.8743875278396437,15,-0.001490812413674375,-0.02868900646679086,0.47229669347631814,-0.03754862973038909,0.033229706766517576
DEV,10:00,TOP5,2238,2.4991716834714475,3.057363691682848,0.8743875278396437,30,-0.024127191710484407,-0.0860015368852524,0.4548704200178731,-0.0703211394952078,0.022551341651683803
DEV,10:00,TOP5,2238,2.4991716834714475,3.057363691682848,0.8743875278396437,60,0.020931681655389688,-0.07879243638681835,0.46112600536193027,-0.0455957241954196,0.08607198208623763
DEV,10:00,TOP5,2238,2.4991716834714475,3.057363691682848,0.8743875278396437,120,0.00835256714658479,-0.11732645819472126,0.4615728328865058,-0.06947589540593883,0.0819609477175772
DEV,10:00,TOP10,4477,1.9671692543379484,2.3327729627843254,0.8480730674983292,15,-0.005833612555173235,-0.03076923076923792,0.47442483806120167,-0.02926265277585481,0.01796007718300981
DEV,10:00,TOP10,4477,1.9671692543379484,2.3327729627843254,0.8480730674983292,30,-0.03412584498078395,-0.07852564102564658,0.4594594594594595,-0.06413127477697933,-0.0028630372816977425
DEV,10:00,TOP10,4477,1.9671692543379484,2.3327729627843254,0.8480730674983292,60,0.011009309978772064,-0.06760505496764671,0.4690641054277418,-0.03370138597842717,0.053767723326855706
DEV,10:00,TOP10,4477,1.9671692543379484,2.3327729627843254,0.8480730674983292,120,-0.0012063972510897873,-0.1153450051493347,0.4668304668304668,-0.055675672109545674,0.05661572038104042
DEV,10:00,TOP20,8954,1.4572697452976802,1.7547704444843175,0.794674688057041,15,-0.0042820256297027345,-0.034312882262992395,0.47085101630556175,-0.020910056010248926,0.012844198587610484
DEV,10:00,TOP20,8954,1.4572697452976802,1.7547704444843175,0.794674688057041,30,-0.018551881614830543,-0.05864393619813417,0.46761224033951304,-0.04334373978486916,0.0048833636854033
DEV,10:00,TOP20,8954,1.4572697452976802,1.7547704444843175,0.794674688057041,60,0.008579016137914534,-0.06448704551941914,0.4726379271833817,-0.021843430334774823,0.04039254725433316
DEV,10:00,TOP20,8954,1.4572697452976802,1.7547704444843175,0.794674688057041,120,0.002392908711924812,-0.1005847660935582,0.47196783560419925,-0.03944259997201473,0.04454040633469162
DEV,10:30,TOP5,2242,2.6841664112550796,2.837912060717904,0.8801781737193763,15,0.024889912145244626,0.0,0.49241748438893845,-0.015606282258914481,0.06510475760686284
DEV,10:30,TOP5,2242,2.6841664112550796,2.837912060717904,0.8801781737193763,30,0.05947913931891411,0.0,0.49018733273862625,0.009023148796671751,0.11178193165083765
DEV,10:30,TOP5,2242,2.6841664112550796,2.837912060717904,0.8801781737193763,60,0.10434494269430068,0.0,0.4928635147190009,0.037725436792511516,0.17213834812507986
DEV,10:30,TOP5,2242,2.6841664112550796,2.837912060717904,0.8801781737193763,120,0.08987418769685825,-0.0573891008934459,0.4808206958073149,-0.0005335519576767583,0.1799271736810171
DEV,10:30,TOP10,4486,2.1141995968591885,2.190375743549034,0.8407217643127646,15,0.015887481628428308,0.0,0.4886312973695943,-0.011711498441390519,0.04330449107355409
DEV,10:30,TOP10,4486,2.1141995968591885,2.190375743549034,0.8407217643127646,30,0.05591289402467762,0.0,0.49531876950512704,0.02032284087295038,0.09025349691664783
DEV,10:30,TOP10,4486,2.1141995968591885,2.190375743549034,0.8407217643127646,60,0.0861754300164551,0.0,0.49264378065091396,0.03436396523908424,0.1354454148609314
DEV,10:30,TOP10,4486,2.1141995968591885,2.190375743549034,0.8407217643127646,120,0.06690276694891319,-0.059502022731641804,0.48172090949621044,-0.0011799955022100406,0.135693668841778
DEV,10:30,TOP20,8973,1.5679519379308118,1.7050607035379532,0.7911096256684492,15,0.017454235525111356,-0.007621121393604198,0.48077566031427615,-0.0017526451810930769,0.03805905246745658
DEV,10:30,TOP20,8973,1.5679519379308118,1.7050607035379532,0.7911096256684492,30,0.04531049674256053,0.0,0.4947063412459601,0.01957735704773187,0.07205172239456119
DEV,10:30,TOP20,8973,1.5679519379308118,1.7050607035379532,0.7911096256684492,60,0.06856455953193208,-0.006935843448098724,0.4890226234258331,0.034082798130142665,0.10388149380464529
DEV,10:30,TOP20,8973,1.5679519379308118,1.7050607035379532,0.7911096256684492,120,0.05147814274660694,-0.07622504537203907,0.4796612058397414,0.0023762895237990226,0.0979566153804859
DEV,11:00,TOP5,2243,2.8828053204298425,2.965385132111531,0.8828507795100222,15,-0.01348233844994598,-0.019858156028350733,0.47837717342844405,-0.05550571917672006,0.02857254282652204
DEV,11:00,TOP5,2243,2.8828053204298425,2.965385132111531,0.8828507795100222,30,0.027004616383476513,-0.032863849765265754,0.47525635309852876,-0.030583167703995426,0.08985619585471022
DEV,11:00,TOP5,2243,2.8828053204298425,2.965385132111531,0.8828507795100222,60,0.0065706875267250945,-0.0896286811779768,0.4703522068658047,-0.07227134535135969,0.08989591606267595
DEV,11:00,TOP5,2243,2.8828053204298425,2.965385132111531,0.8828507795100222,120,0.03804030811479713,-0.04057971014492112,0.4810521622826572,-0.07173616557817576,0.16074963925054184
DEV,11:00,TOP10,4487,2.2670607732741384,2.239162016948161,0.8565382044998886,15,0.014275085471584851,0.0,0.48852239803877867,-0.01526867465567745,0.04643397048837152
DEV,11:00,TOP10,4487,2.2670607732741384,2.239162016948161,0.8565382044998886,30,0.03945867779598813,0.0,0.48473367506128817,-0.006031526390810994,0.08260580631663476
