symbol,trades,net_pnl,avg_r,avg_mfe_r,avg_mae_r,win_rate
TCS,2,8988.122448139458,1.7942020858581753,2.6785869479622337,-0.6832977279884003,1.0
BHARTIARTL,4,6609.780326084573,0.6621550512281837,2.3194643743841263,-0.6329454548549993,0.75
INFY,3,2207.1426390803163,0.2996880917489427,1.5662382013594793,-0.6375525785053764,0.6666666666666666
ICICIBANK,3,2112.9988291031295,0.28669746100084537,1.1338245055689875,-0.6531852783562769,0.6666666666666666
RELIANCE,1,380.2974185768822,0.1524576411908273,0.8752221033868302,-0.5821754010694935,1.0
AXISBANK,3,-2301.1799532336345,-0.30588583512716067,1.2513608524192616,-0.8708554902007167,0.3333333333333333
ITC,2,-3209.2454113417234,-0.6435677181845922,0.5468129840646334,-0.9673751844575262,0.0
SBIN,2,-3816.2474305386677,-0.7650094050490857,0.9138938613316873,-0.7848783353813751,0.0
HDFCBANK,2,-6055.843898422152,-1.2153684071127941,0.37048766755121193,-1.2289203749064594,0.0
LT,4,-11871.794597815819,-1.2043269155077052,0.6405971406898869,-1.2581933676652397,0.0
