month,trades,net_pnl,avg_r
2024-07,2,9085.51701353062,1.8199094581482504
2024-09,1,4321.88844911925,1.7295064796045447
2024-10,2,-6259.114601817844,-1.2525826839066938
2024-11,1,-2975.849584292452,-1.198368905383035
2024-12,1,4291.619913927278,1.7082130535429618
2025-01,2,1814.8661026783789,0.3697694201832824
2025-03,1,4117.894656400907,1.6351801678310363
2025-04,1,-2904.669088514386,-1.1693514849091835
2025-05,1,-513.7597736207086,-0.20681913139601132
2025-06,1,-694.6747544573822,-0.27799778076212217
2025-07,1,710.5868806138136,0.2840172761597807
2025-08,1,-3325.2838936768044,-1.3088724277855472
2025-10,2,-2898.5579936059517,-0.5807708512274701
2025-12,2,-1671.667171479155,-0.33163933271408
2026-01,3,-324.0218887302626,-0.04410284947111842
2026-02,1,-3002.1031823309336,-1.2016927580866616
2026-03,1,-2929.0203936691514,-1.1944303079954242
2026-04,1,-814.1442482077339,-0.3283260520115098
2026-06,1,-2985.476072235117,-1.2223391533980215
