entry_time_bucket,trades,net_pnl,avg_r
09:35,2,5495.428185881647,1.1076881365771576
09:45,1,1672.3502134065816,0.6743396190264077
09:50,1,710.5868806138136,0.2840172761597807
09:55,2,1791.8334456977946,0.35541981663210265
10:05,1,380.2974185768822,0.1524576411908273
10:10,2,-1200.2045234797943,-0.24375515985523605
10:25,1,-513.7597736207086,-0.20681913139601132
10:30,1,-2985.476072235117,-1.2223391533980215
10:35,1,-2975.849584292452,-1.198368905383035
10:40,1,-3166.9482857203757,-1.2560846506908612
10:55,2,1386.9112969875055,0.2789675200182252
11:20,1,-3278.855412182834,-1.3139993436457675
11:30,1,-2981.4485476190976,-1.2021692952543401
11:40,1,-3151.1748099077663,-1.2613853293164048
11:45,1,-3107.939791910078,-1.2437800384969826
12:15,2,8409.514570328185,1.671696610686999
12:20,2,-4139.4281418845385,-0.8185992398985285
14:10,1,4321.88844911925,1.7295064796045447
14:15,1,-694.6747544573822,-0.27799778076212217
14:45,1,-2929.0203936691514,-1.1944303079954242
