symbol,trades,net_pnl,avg_r,win_rate
AXISBANK,3,-9835.16430861174,-1.3213931483399701,0.0
SBIN,18,-26118.166678625945,-0.5922061350091699,0.2222222222222222
LT,12,-27802.400301525933,-0.95134211553454,0.16666666666666666
ICICIBANK,24,-55842.47957456936,-0.9823803618260839,0.125
