feature,split,bucket,events,avg_60m_r,avg_120m_r,positive_60m_rate
time_to_retest,DEV,<=10,181,0.26504803130679266,0.32927749815637375,0.4696132596685083
time_to_retest,DEV,10-20,31,0.20127961698081698,0.6912352345616084,0.4838709677419355
time_to_retest,DEV,20-30,29,-0.06072805132316122,-0.17426093912641233,0.5172413793103449
time_to_retest,DEV,30-45,23,-0.15540951651766868,1.0885551882884201,0.21739130434782608
time_to_retest,DEV,>45,10,0.033153514275895274,-0.5671156463885036,0.7
time_to_retest,VALIDATION,<=10,65,0.3995064821323805,0.20109106116393993,0.5692307692307692
time_to_retest,VALIDATION,10-20,12,-0.38022148943399997,-0.0118050705557593,0.5
time_to_retest,VALIDATION,20-30,7,-0.3408147245304913,-1.0237446891406186,0.2857142857142857
time_to_retest,VALIDATION,30-45,2,0.06911976318710994,-0.10672203264398888,0.5
time_to_retest,VALIDATION,>45,2,2.0912236653630147,1.8255677337324439,1.0
pullback_depth_atr,DEV,<=-.5,149,0.09481047654392169,0.25253537033500945,0.46308724832214765
pullback_depth_atr,DEV,-.5..-.25,46,0.644749059320991,0.5848171146763671,0.45652173913043476
pullback_depth_atr,DEV,-.25..0,47,0.17863886624940029,0.5640710069084044,0.425531914893617
pullback_depth_atr,DEV,0..0.25,32,-0.06320654697403022,0.032257746600594155,0.53125
pullback_depth_atr,VALIDATION,<=-.5,60,0.33479019545294686,0.2792626294858565,0.5
pullback_depth_atr,VALIDATION,-.5..-.25,14,0.4126947754407971,-0.017956141715885998,0.7857142857142857
pullback_depth_atr,VALIDATION,-.25..0,8,0.1009491691508489,-0.001498267714627688,0.5
pullback_depth_atr,VALIDATION,0..0.25,6,-0.5554141142952034,-1.1182522560248616,0.5
retest_vwap_pct,DEV,<=0,23,-0.6620264347734419,-0.2808007278042515,0.391304347826087
retest_vwap_pct,DEV,0-.25,24,0.289587092903745,1.1087383380731481,0.4166666666666667
retest_vwap_pct,DEV,.25-.5,45,0.28862850650564176,0.6996744157678717,0.4666666666666667
retest_vwap_pct,DEV,.5-1,128,0.12859664583731917,0.23985687153899898,0.4609375
retest_vwap_pct,DEV,>1,54,0.5387377045914481,0.17626199000248427,0.5185185185185185
retest_vwap_pct,VALIDATION,<=0,1,-0.907885040530578,-0.4848931466470087,0.0
retest_vwap_pct,VALIDATION,0-.25,2,-0.6184900625690084,-0.14801251380200897,0.5
retest_vwap_pct,VALIDATION,.25-.5,24,0.08939532042140319,-0.0740496572412621,0.5416666666666666
retest_vwap_pct,VALIDATION,.5-1,41,0.24697590508534648,0.21030876382567845,0.5365853658536586
retest_vwap_pct,VALIDATION,>1,20,0.6606806308919625,0.17902075035654713,0.6
retest_rvol,DEV,<1.5,60,0.09420379784675675,0.4548226857700665,0.48333333333333334
retest_rvol,DEV,1.5-3,100,0.46311002923891226,0.6295699472954305,0.53
retest_rvol,DEV,3-5,43,-0.005143620341357122,0.5259482395619656,0.37209302325581395
retest_rvol,DEV,>5,71,-0.022278246437009874,-0.21538777938096826,0.4084507042253521
retest_rvol,VALIDATION,<1.5,11,0.28388378358462657,-0.16182175250903683,0.6363636363636364
retest_rvol,VALIDATION,1.5-3,16,0.6953686507418699,0.6541949656958413,0.625
retest_rvol,VALIDATION,3-5,23,0.1422445413145498,0.23448048885444772,0.6521739130434783
retest_rvol,VALIDATION,>5,38,0.15315796761179168,-0.1249001102713736,0.42105263157894735
