split,retests,above_vwap_rate,bullish_retest_rate,avg_30m_r,median_30m_r,positive_30m_rate,avg_60m_r,median_60m_r,positive_60m_rate,avg_120m_r,median_120m_r,positive_120m_rate
DEV,274,0.916058394160584,0.5109489051094891,0.13808736678171962,0.0,0.4908424908424908,0.18234503936490926,-0.08291219204042971,0.4721189591078067,0.3399453849642966,-0.022134387351758465,0.4900398406374502
VALIDATION,88,0.9886363636363636,0.6590909090909091,0.2348818976801394,0.0,0.48863636363636365,0.26523008239526746,0.15045804741931518,0.5454545454545454,0.1072598470731521,-0.07097411278561393,0.47674418604651164
