vwap_extension_bucket,events,positive_30m,avg_fwd_15m_pct,avg_fwd_30m_pct,avg_fwd_60m_pct,avg_fwd_120m_pct,avg_eod_pct,avg_mfe_60m_atr,avg_mae_60m_atr,failure_60m_rate,avg_vwap_extension_pct,avg_or_extension_atr
0-.25%,3,0.6666666666666666,0.06887230968326923,0.06955754022419287,-0.15724624894254782,-0.20365282105058538,-0.6361925711415325,1.5244379703398312,-1.4886506944302267,0.6666666666666666,0.18842431653372702,1.0298389411581317
.25-.5%,56,0.5714285714285714,0.1300185270463207,0.14060001953653217,0.10556556643729198,0.12550125902382123,0.08323216934172668,1.8310663276176011,-1.2653313120109313,0.5714285714285714,0.4122342950136685,0.5531049625441742
.5-1%,269,0.516728624535316,0.03637678662327416,0.056073563460420715,0.03301803718357433,0.10901409658852866,0.13090165800384948,1.6750226588065278,-1.4032736328907969,0.5539033457249071,0.7147024355450958,0.7565680510386079
1-2%,102,0.43137254901960786,-0.08020047495462128,-0.04893883625187385,-0.023931607139493504,-0.2926182054324457,-0.5175334689153763,1.8017288685921933,-1.5413158321412868,0.5882352941176471,1.2970372136231691,1.2576431598672415
>2%,20,0.4,-0.18186379223381063,-0.15824686017232467,-0.08231159231757483,-0.36856678040929924,-0.45645179089286786,2.2373862785737173,-2.0355686317846233,0.75,2.7542635210755497,2.734497487011297
