rvol_bucket,events,positive_30m,avg_fwd_15m_pct,avg_fwd_30m_pct,avg_fwd_60m_pct,avg_fwd_120m_pct,avg_eod_pct,avg_mfe_60m_atr,avg_mae_60m_atr,failure_60m_rate,avg_vwap_extension_pct,avg_or_extension_atr
<=2,88,0.4659090909090909,0.010969408421158323,0.012079549665666333,-0.037839407936446356,-0.022091002622329138,0.1351115424639056,1.5042825690276664,-1.4116960691753908,0.5340909090909091,0.7273398906342513,1.0252141624188533
2-3,111,0.44144144144144143,0.00018493546140450489,0.013173796009905996,0.006104562676266805,0.025361989900979966,0.0066231474343219875,1.6506590892147046,-1.4728405896428218,0.5855855855855856,0.7178033874630758,0.9018162160830181
3-5,105,0.5714285714285714,0.0443641588331401,0.06205712418858704,0.015459178473985175,0.06979423569580882,-0.07418009770601479,1.8186376885091857,-1.432619752963679,0.5333333333333333,0.8228938492381548,0.9624029846543873
>5,146,0.5136986301369864,-0.0012930595856206059,0.040877219294206055,0.07347703021793214,-0.04419670322904116,-0.19718188162589056,1.915487749134985,-1.4561031967031297,0.6164383561643836,1.1863183170469174,0.8847739235289964
