entry_time,events,positive_30m,avg_fwd_15m_pct,avg_fwd_30m_pct,avg_fwd_60m_pct,avg_fwd_120m_pct,avg_eod_pct,avg_mfe_60m_atr,avg_mae_60m_atr,failure_60m_rate,avg_vwap_extension_pct,avg_or_extension_atr
09:35,66,0.6060606060606061,-0.009906744917373339,0.09574414235392861,-0.010918077408702159,-0.0015634144621375608,-0.0416036111328105,1.7176906106596366,-1.3917160956831545,0.5303030303030303,0.7881716881202941,0.6742423721518819
09:40,45,0.4888888888888889,-0.045886078736684995,-0.015239400091418985,-0.14863880874586924,-0.18181307713022102,0.22726637018473844,1.3285027831823426,-1.326823679558495,0.5777777777777777,0.8473270679084973,0.6462264707369505
09:45,28,0.6785714285714286,0.09489362190114195,0.17270136220494828,0.16557511618668683,0.3515887435632533,0.2163587797050761,1.6347374196752764,-0.9221703642999846,0.39285714285714285,0.6823863163202517,0.5490137442853757
09:50,22,0.36363636363636365,-0.307637462063923,-0.2730474834474185,-0.42215933387942484,-0.4303701282891062,-0.8522140364958958,1.383981184050817,-1.7268683428355016,0.6363636363636364,0.8115544728795931,0.779047548667116
09:55,19,0.3684210526315789,-0.031130570180335375,-0.03982130269399922,-0.04783051602610272,0.07263880187903714,-0.12282466841680235,1.2725357224293727,-1.2125345820207902,0.5789473684210527,0.7633109233983252,0.4012421135335658
10:00,17,0.35294117647058826,0.06907669295449634,-0.026738853038840226,-0.10486195602041566,-0.4071030455263633,-0.30698492393175175,0.955590766275206,-1.318218850402349,0.6470588235294118,0.7412135940705464,0.710717892138196
10:05,18,0.3888888888888889,0.1815428187431128,-0.012369498823641998,-0.11398342182695445,-0.185677498028072,-0.7315291532476164,1.332667485576784,-1.023588673348315,0.7777777777777778,1.0424245747159648,0.49960877140371746
10:10,12,0.75,0.02517806806720165,0.057869414621552116,0.08661505322316483,0.11961277470757443,-0.22789142912788551,1.6967814618164931,-1.0929500919116477,0.6666666666666666,0.7436441914386895,0.36993748192084647
10:15,8,0.625,0.07064472813786554,0.09867806327633899,0.3418486793924633,0.7999633941079998,0.9309986853894643,1.2599684645764722,-0.7628928670153269,0.625,0.7132906649330389,0.40224679748479164
10:20,14,0.42857142857142855,0.00023173571364213226,-0.08136435979532017,0.16250604148963035,0.03169746221519665,-0.022411842385873713,1.5266567360131316,-1.1248874651548872,0.42857142857142855,0.8939099029042916,0.7000940053850494
10:25,15,0.4,-0.09113448622681448,-0.24200231084522553,-0.6433988533664422,-0.6823201549736597,-0.9411078333000708,0.648474358459671,-1.4476609645137486,0.7333333333333333,1.0250760518973874,0.7846045220052387
10:30,12,0.5,-0.04467188716334262,0.0803930633634949,0.16755177111252204,0.23160079915663934,0.15172248959464119,1.4638014713233947,-1.3121027068750146,0.5833333333333334,0.9374304729730757,1.3889618623167401
10:35,8,0.25,-0.04683531477666231,-0.09231042868409478,-0.209889253941202,-0.15844138272917696,-0.2940201128141362,0.9839236959284183,-1.4472262750133398,0.625,0.6620745101697884,0.8797034384935122
10:40,8,0.5,0.15468644806898024,0.06248824215372428,0.04765559612091713,-0.12197874439345141,-0.09784777939894351,1.4031342260358257,-1.91255999879137,0.625,1.0674494032471031,1.0826592821193806
10:45,6,0.5,0.14943715753408618,0.3493213539325209,0.3708562766613281,0.5276191435605334,0.5639644632429311,2.0133515579129964,-1.3312126245467046,0.8333333333333334,0.7222387063223793,0.5231037066560139
10:50,8,0.25,-0.1076104989759602,-0.1011562998081375,-0.20450394218898965,0.1632884167369994,0.06401142398609755,1.3978829216601323,-1.9391439621078512,0.75,0.878408441142664,1.2035029751207849
10:55,3,0.6666666666666666,0.10305383347494941,-0.032985567160189376,0.07686299029211845,-0.25352536952587174,-0.41498315448988593,1.7591919031433798,-0.8981417277757936,0.3333333333333333,0.7530903676688849,0.3846194148277033
11:00,4,0.5,0.34218103497739016,0.5951484649905636,0.6093387489449487,0.7127202209796041,0.7235905115440366,3.508991645754452,-1.7747425760413034,0.75,1.3054041697417973,0.8327422755617624
11:05,6,0.16666666666666666,-0.23664444319528485,-0.18816472120380587,-0.3166611259078374,-0.45621047016850175,-0.62070249030175,1.4614092307090898,-2.9081843250076562,0.8333333333333334,0.6960589870751988,1.4353819850939544
11:10,7,0.5714285714285714,-0.05234259295936144,0.008419236523139948,0.12679217859504924,-0.0705539752122191,-1.1894245194223012,1.880762165225634,-1.4180748859631505,0.42857142857142855,1.1679100009210939,1.2331895919855014
11:15,3,0.3333333333333333,-0.16391152199672168,-0.0664079529472043,-0.5682613359106877,-0.34142174631476285,-0.18218152341373064,2.092963231514913,-3.3700663948791836,0.6666666666666666,0.6335759263700039,0.9428222822791249
11:20,8,0.375,-0.015178329489876075,-0.0461818366517458,-0.17600326052272935,-0.11551351692349332,-0.554370986796146,1.6560093506174227,-1.862943427479648,0.625,0.6777658025248406,1.0774875156603176
11:25,3,1.0,0.35433737866609566,0.4320832341971152,0.20109042953911546,-0.5450346306630401,-0.1988106323061086,3.3973145010326955,-0.32985428899159985,0.0,0.7589426840437655,1.4374473028559243
11:30,6,0.8333333333333334,0.1472749802307919,0.27455509053704863,0.06136792700951651,0.5489678716675791,1.0242759708398737,2.944803618018545,-1.5807628680226051,0.16666666666666666,0.8457918291812786,1.3408212550823155
11:35,2,1.0,0.35661350947781,0.39412757725322267,0.7682568463173722,1.8549235375030282,2.2319950863926907,3.626183352136157,-0.5612154804532301,0.0,0.8863473224540619,1.9437386569873054
11:40,4,1.0,0.448778521212731,1.0801444168480168,1.1555779745963668,1.4319759978874163,0.5239471124218492,3.670617849528112,-1.1087774352402309,0.5,1.6660302877640643,2.104107710006905
11:45,5,0.4,-0.00567026797629655,-0.10156024183200385,0.21853842111061894,0.26193891344103326,0.2054262205444246,2.0255528418960265,-1.4194574665342228,0.4,0.695794917080006,0.7944701047945002
11:50,2,0.0,0.05270246457312333,-0.18885607833691864,-0.052654228226739486,0.051408595517166145,0.2628790080119292,0.8169517211517661,-1.518835245724179,0.5,0.7642068685968617,1.1478675037887032
11:55,2,0.5,-0.24060019015569867,-0.21071590319454714,-0.19628926460134033,-0.6323726571708765,-1.6668841160009717,1.000000000000005,-5.992521367521432,1.0,0.6139683831016485,0.632478632478656
12:00,6,0.5,0.035724542419270554,0.15470537173751983,0.17831510878270249,0.07522855404596962,-0.015050067117057994,2.820943726240808,-1.8852419350167666,0.6666666666666666,0.9547647704935806,1.1667422424286387
12:05,2,0.5,-0.07515771971274288,0.15066731728742289,0.5657828597043113,0.06697620613203004,0.5548039877795341,2.569087458404571,-0.9004938836089339,0.5,1.0815229426822337,0.5886613613188401
12:10,1,1.0,0.280045283918251,0.4707144133945018,0.5005064648751834,-0.13704343681105735,0.20258595006852342,4.666666666666696,-0.47058823529413485,0.0,0.5895139188047516,2.4705882352940964
12:15,4,0.5,-0.09594580096793648,-0.07508031402788384,0.05623992612106277,0.19123748615855474,0.15252479225681126,1.8182290753726196,-1.3480848866282764,0.5,0.6881270602649203,0.8642461096793141
12:20,2,0.5,0.12315145431635033,0.3669392187715781,0.9709224648823178,0.38967242818728764,0.29117275482140603,1.6772904360940044,-1.0792471070465164,1.0,3.1949495526806593,0.6888893185487355
12:25,4,0.5,0.7807044756671766,0.7129907430124233,1.0250474641184948,0.9703177314276695,1.0123158467324755,4.895357629727563,-1.3075600693459024,0.25,1.8870142915780819,0.9396532509430343
12:30,2,0.5,0.3884836935651892,0.0311988972961752,-0.1946875233229617,-1.922576240092283,-2.5220566012593095,2.3327807773673146,-1.235846673613065,0.5,0.8184890492213714,1.7746992516813527
12:35,5,0.2,0.09683646331037687,-0.010866940534939307,0.1757895307031676,0.4378772713126078,0.5948979386848063,2.2535276444998713,-1.2795665713672517,0.6,0.7715041890039576,1.4336418159229691
12:40,5,0.6,-0.152741767929927,-0.06414846447196698,0.3626908783520921,-0.27183792113838257,0.173727787466309,1.8935245125599216,-1.3678660035978873,0.6,1.4075103754764928,2.7865768590554603
12:45,6,0.5,-0.034536506660322784,-0.016032070541484773,0.6665608731715567,-0.09174162818973985,-0.4541433131856121,3.2229259408968165,-2.2303486679373328,0.8333333333333334,1.5505766225421767,0.9544883487947944
12:50,1,1.0,0.13966480446927498,0.17807262569831117,0.06983240223463749,-1.0544692737430084,-1.2569832402234637,1.7735550277118077,-2.072842438638155,1.0,1.2847294475096582,0.5764053840063174
12:55,1,1.0,0.3520691785052543,0.42618900555899675,0.6856084002470508,0.15441630636194859,0.5558987029030238,3.6567164179104696,-0.10447761194032289,0.0,0.4282093296918754,1.541044776119436
13:00,1,1.0,0.18336389398232456,0.3333888981496891,0.41673612268711135,0.4667444574095736,0.5834305717619559,3.6959999999999997,-0.33599999999999997,0.0,0.46922105099651557,1.008
13:05,2,1.0,0.2756719977719091,0.3237504432087479,0.11614594608124196,0.09050729354183051,-0.8516117611419072,1.8173283814203574,-0.790365073391043,0.5,1.7064756466903086,1.9626279556549449
13:10,3,0.3333333333333333,-0.19191597770679505,-0.42761407111354677,0.16089728718367743,0.6588909184636504,1.8533995433525519,2.7542026495974685,-1.5114225483645847,0.6666666666666666,1.6735232731236893,1.681809250071315
13:15,1,0.0,-0.37253110283264057,-0.27412666057496926,-0.400646657763426,1.4057777465382726,1.3987488578055762,0.40935672514617705,-2.415204678362596,1.0,0.5843518396770664,0.4093567251462934
13:20,3,0.6666666666666666,0.09661317821536934,0.23765644597937655,0.7758986730548237,0.5551673630008488,0.4015978866476644,4.193950090463771,-1.234654345068286,0.3333333333333333,0.9778342907316903,2.146871446644436
13:25,1,1.0,0.0945179584120881,0.10081915563957544,-0.2184415038857357,0.08401596303297953,0.08401596303297953,1.374173337974273,-1.4667594848590444,1.0,0.6852851041771801,0.03898364079355994
13:30,2,0.5,0.06455486731581361,0.23199374065863143,0.026679998360440438,,0.0007850855071767082,1.7071938789756933,-1.9159995532099583,0.5,1.344719079981438,2.924495266817457
13:35,1,0.0,-0.6052269601100391,-1.3067400275103114,-1.3067400275103114,,-1.6506189821182904,1.300309597523217,-5.634674922600608,1.0,0.9754746414146753,0.6718266253869758
