split,snapshot_time,cohort,benchmark,horizon_min,leader_events,paired_sessions,leader_session_avg_atr,benchmark_session_avg_atr,spread_atr,spread_ci_low,spread_ci_high,positive_spread_session_rate
DEV,09:45,PERSIST_1,REST,30,4509,450,-0.0459907383303657,-0.04714210177863244,0.0011513634482667307,-0.04572020800830332,0.048275139906688316,0.5022222222222222
DEV,09:45,PERSIST_1,BOTTOM50,30,4509,450,-0.0459907383303657,-0.059579660289458096,0.013588921959092386,-0.03676553819764568,0.06706661467902804,0.5066666666666667
DEV,09:45,PERSIST_1,REST,60,4509,450,-0.051267285844509285,-0.02749275636239767,-0.023774529482111614,-0.08998052340434645,0.039202547784358326,0.4822222222222222
DEV,09:45,PERSIST_1,BOTTOM50,60,4509,450,-0.051267285844509285,-0.03828659036754208,-0.012980695476967218,-0.08314660418786404,0.05471157479434089,0.5
DEV,09:45,PERSIST_1,REST,120,4509,450,-0.039541839119678075,-0.011788513218076465,-0.0277533259016016,-0.11373777412685339,0.05252948340142016,0.4688888888888889
DEV,09:45,PERSIST_1,BOTTOM50,120,4509,450,-0.039541839119678075,-0.0290778899209205,-0.01046394919875758,-0.10307394785399221,0.07780875153152284,0.47555555555555556
DEV,09:45,PERSIST_1_CONFIRMED,REST,30,1845,435,-0.020289394069276493,-0.038534578919328176,0.018245184850051693,-0.052115639198374406,0.09405377819277802,0.496551724137931
DEV,09:45,PERSIST_1_CONFIRMED,BOTTOM50,30,1845,435,-0.020289394069276493,-0.05032930327822805,0.030039909208951544,-0.04680483100125682,0.10483968903271933,0.5103448275862069
DEV,09:45,PERSIST_1_CONFIRMED,REST,60,1845,435,-0.02333653162406721,-0.029756672438267184,0.006420140814199967,-0.10243147690083845,0.10555425880529722,0.4804597701149425
DEV,09:45,PERSIST_1_CONFIRMED,BOTTOM50,60,1845,435,-0.02333653162406721,-0.03619168103363129,0.012855149409564073,-0.08969787744224299,0.11114904290761726,0.4827586206896552
DEV,09:45,PERSIST_1_CONFIRMED,REST,120,1845,435,0.02525663187849062,-0.01670369252085278,0.041960324399343406,-0.07311126147438841,0.1779728147591875,0.4689655172413793
DEV,09:45,PERSIST_1_CONFIRMED,BOTTOM50,120,1845,435,0.02525663187849062,-0.027067642026394483,0.0523242739048851,-0.08696232164089662,0.18374311629047646,0.47126436781609193
DEV,10:00,PERSIST_1,REST,30,4489,448,-0.03446319374024697,-0.016677491050106567,-0.01778570269014039,-0.05506482250417158,0.020648075111598375,0.48660714285714285
DEV,10:00,PERSIST_1,BOTTOM50,30,4489,448,-0.03446319374024697,-0.026886557248355758,-0.00757663649189121,-0.04810397358851955,0.038279014459785175,0.49330357142857145
DEV,10:00,PERSIST_1,REST,60,4489,448,0.010663480981977202,0.0061245766223625335,0.0045389043596146695,-0.05076176339350563,0.06086321604528797,0.49776785714285715
DEV,10:00,PERSIST_1,BOTTOM50,60,4489,448,0.010663480981977202,-0.005528078500619023,0.016191559482596235,-0.04197353620098955,0.07771346189132715,0.5044642857142857
DEV,10:00,PERSIST_1,REST,120,4489,448,-0.0019490559370678809,0.004230939545232406,-0.006179995482300274,-0.0768912138423142,0.06283439323467738,0.4955357142857143
DEV,10:00,PERSIST_1,BOTTOM50,120,4489,448,-0.0019490559370678809,-0.011876587216218834,0.009927531279150961,-0.07096952740404222,0.08130308810953499,0.4888392857142857
DEV,10:00,PERSIST_1_CONFIRMED,REST,30,1792,427,0.0042034970002027385,-0.017736289633555863,0.02193978663375859,-0.0428915991141988,0.09076789290445272,0.4918032786885246
DEV,10:00,PERSIST_1_CONFIRMED,BOTTOM50,30,1792,427,0.0042034970002027385,-0.02430201915367398,0.0285055161538767,-0.04127041930127091,0.10258196249372274,0.5011709601873536
DEV,10:00,PERSIST_1_CONFIRMED,REST,60,1792,427,0.015644015045088798,0.0016840499811783011,0.013959965063910493,-0.07425158312227052,0.09978398671735397,0.5011709601873536
DEV,10:00,PERSIST_1_CONFIRMED,BOTTOM50,60,1792,427,0.015644015045088798,-0.006452658161971786,0.022096673207060605,-0.06337354990710463,0.12823058552871588,0.5105386416861827
DEV,10:00,PERSIST_1_CONFIRMED,REST,120,1792,427,0.03068731692816885,-0.006110516539143843,0.03679783346731267,-0.0701472929941058,0.14001175616055694,0.5128805620608899
DEV,10:00,PERSIST_1_CONFIRMED,BOTTOM50,120,1792,427,0.03068731692816885,-0.015434221325891782,0.046121538254060644,-0.07288569649381517,0.16431713232043765,0.5199063231850117
DEV,10:00,PERSIST_2,REST,30,3470,448,-0.031153003163419728,-0.017284029984866525,-0.013868973178553219,-0.05708601003789748,0.026739313640826445,0.48660714285714285
DEV,10:00,PERSIST_2,BOTTOM50,30,3470,448,-0.031153003163419728,-0.026886557248355758,-0.004266445915063978,-0.05080717037234624,0.04201747808479641,0.5044642857142857
DEV,10:00,PERSIST_2,REST,60,3470,448,0.01886457604755379,0.005629977018625137,0.013234599028928665,-0.05032764343979473,0.07218821773333017,0.5200892857142857
DEV,10:00,PERSIST_2,BOTTOM50,60,3470,448,0.01886457604755379,-0.005528078500619023,0.02439265454817282,-0.039272040651347054,0.09144050573577565,0.5334821428571429
DEV,10:00,PERSIST_2,REST,120,3470,448,0.00024212582212880925,0.0036897283595820167,-0.003447602537453195,-0.0825831468492532,0.07951896256230719,0.484375
DEV,10:00,PERSIST_2,BOTTOM50,120,3470,448,0.00024212582212880925,-0.011876587216218834,0.012118713038347637,-0.07372107633898684,0.10009767510990587,0.46651785714285715
DEV,10:00,PERSIST_2_CONFIRMED,REST,30,1325,414,0.0071084521540428006,-0.005232587430268672,0.012341039584311484,-0.055331295336201264,0.07835414076902115,0.5024154589371981
DEV,10:00,PERSIST_2_CONFIRMED,BOTTOM50,30,1325,414,0.0071084521540428006,-0.0132687964976669,0.020377248651709687,-0.055183343329056764,0.09175627480389792,0.5048309178743962
DEV,10:00,PERSIST_2_CONFIRMED,REST,60,1325,414,0.019174221649580665,0.014215415466017118,0.004958806183563561,-0.0902703276519644,0.09661974336565773,0.5048309178743962
DEV,10:00,PERSIST_2_CONFIRMED,BOTTOM50,60,1325,414,0.019174221649580665,0.003921911693438338,0.015252309956142324,-0.08221223602486252,0.10346985966966385,0.5096618357487923
DEV,10:00,PERSIST_2_CONFIRMED,REST,120,1325,414,0.016906422981469986,0.00353148897048092,0.013374934010989072,-0.09690371089601618,0.1330085895197153,0.45893719806763283
DEV,10:00,PERSIST_2_CONFIRMED,BOTTOM50,120,1325,414,0.016906422981469986,-0.006778707450132253,0.02368513043160224,-0.0989018785436977,0.1440433951650473,0.49033816425120774
DEV,10:30,PERSIST_1,REST,30,4489,449,0.055947756136136874,0.02564124722187923,0.030306508914257638,-0.017294854875678164,0.07352153258580119,0.5144766146993318
DEV,10:30,PERSIST_1,BOTTOM50,30,4489,449,0.055947756136136874,0.021140205918530174,0.03480755021760669,-0.015847131975190547,0.08598878454560793,0.5144766146993318
DEV,10:30,PERSIST_1,REST,60,4489,449,0.08590531451404732,0.04915644021272301,0.03674887430132433,-0.03252444843312719,0.10166255113550395,0.48552338530066813
DEV,10:30,PERSIST_1,BOTTOM50,60,4489,449,0.08590531451404732,0.0481896475159806,0.03771566699806674,-0.03414751591961469,0.11462069519581349,0.48775055679287305
DEV,10:30,PERSIST_1,REST,120,4489,449,0.0664097297344407,0.023818006445426018,0.04259172328901467,-0.040186004150421555,0.12902781279301306,0.5100222717149221
DEV,10:30,PERSIST_1,BOTTOM50,120,4489,449,0.0664097297344407,0.016535333688632702,0.049874396045807984,-0.04831946809716449,0.13930393597165383,0.5077951002227171
DEV,10:30,PERSIST_1_CONFIRMED,REST,30,1690,432,0.06875688911421562,0.016911644048361516,0.05184524506585411,-0.0186126161700087,0.1274705928111084,0.5231481481481481
DEV,10:30,PERSIST_1_CONFIRMED,BOTTOM50,30,1690,432,0.06875688911421562,0.013111080300696375,0.05564580881351926,-0.02293389893936605,0.13670024307553424,0.5023148148148148
DEV,10:30,PERSIST_1_CONFIRMED,REST,60,1690,432,0.0917590734158593,0.04172498975771522,0.05003408365814407,-0.058904315363811334,0.15426455923202573,0.5300925925925926
DEV,10:30,PERSIST_1_CONFIRMED,BOTTOM50,60,1690,432,0.0917590734158593,0.042643267506823464,0.04911580590903583,-0.05738049766218676,0.15718649739913826,0.5208333333333334
DEV,10:30,PERSIST_1_CONFIRMED,REST,120,1690,432,0.07312801013919307,0.01606639969327647,0.057061610445916594,-0.07792563484408377,0.1924924867882429,0.5231481481481481
DEV,10:30,PERSIST_1_CONFIRMED,BOTTOM50,120,1690,432,0.07312801013919307,0.010282254419277818,0.06284575571991524,-0.08258104675686341,0.20611456137182707,0.49537037037037035
DEV,10:30,PERSIST_2,REST,30,3326,449,0.04185636214775887,0.02699120216854567,0.014865159979213217,-0.029291358686420646,0.061810815633741675,0.5144766146993318
DEV,10:30,PERSIST_2,BOTTOM50,30,3326,449,0.04185636214775887,0.021140205918530174,0.020716156229228698,-0.03229349889548625,0.07176397211330138,0.5077951002227171
DEV,10:30,PERSIST_2,REST,60,3326,449,0.06631530012713459,0.051206018236145706,0.015109281890988905,-0.05522753337808862,0.08494803112948912,0.48552338530066813
