split,snapshot_time,events,horizon_min,avg_fwd_atr,median_fwd_atr,positive_rate,ci_low,ci_high
DEV,10:00,1018,30,-0.0021361162374629377,-0.017875996610984775,0.47838899803536344,-0.06596293914072365,0.06039056137165097
DEV,10:00,1018,60,-0.02286273347702759,-0.07898798228968912,0.4656188605108055,-0.10769830409004098,0.061017139972536674
DEV,10:00,1018,120,-0.08199146022237899,-0.16590518300171375,0.46463654223968565,-0.18751456145466727,0.028029390135370754
DEV,10:30,1163,30,0.07042938042772323,0.06278026905830973,0.5227858985382631,0.0033450350317270994,0.13416266063236568
DEV,10:30,1163,60,0.11837690680712,0.035623409669211195,0.5073086844368013,0.0255068342824314,0.212267091730216
DEV,10:30,1163,120,0.09736732898351584,0.0,0.4935511607910576,-0.032208531873116654,0.22951124280230853
DEV,11:00,999,30,0.014307244331243696,-0.036277261930380424,0.47147147147147145,-0.06229065882186405,0.0925145653948184
DEV,11:00,999,60,0.04814233093389219,-0.016147635524820132,0.4904904904904905,-0.05763462219238772,0.15227259289860465
DEV,11:00,999,120,-0.08528865558514974,-0.12561174551385687,0.47647647647647645,-0.24216746708595838,0.07378124417125664
DEV,12:00,1108,30,-0.012584396375095869,0.0,0.48465703971119134,-0.10452070796154111,0.07697967126585226
DEV,12:00,1108,60,-0.04851923276146297,-0.09175448141573053,0.4729241877256318,-0.1697576155951957,0.08561078798941625
DEV,12:00,1108,120,0.03354104126485958,-0.009472259810573092,0.48285198555956677,-0.12679763875148908,0.22033687592743584
VALIDATION,10:00,278,30,0.049080323369831425,-0.008443908323281062,0.49280575539568344,-0.06903499876643432,0.16237121970407092
VALIDATION,10:00,278,60,-0.10598648148068204,-0.10730891589851643,0.4568345323741007,-0.2545704986212646,0.05747523446724084
VALIDATION,10:00,278,120,-0.029704833496128766,-0.015086482730865894,0.4892086330935252,-0.24901901126191198,0.17500609870137782
VALIDATION,10:30,345,30,-0.024316054126836475,0.008922880815838675,0.5014492753623189,-0.16107399065025127,0.09595249599929091
VALIDATION,10:30,345,60,0.047274422327832424,0.0,0.4985507246376812,-0.12087853985349682,0.21565585463283254
VALIDATION,10:30,345,120,0.06613792287276256,0.11013986013987118,0.518840579710145,-0.17485043974442635,0.31751676004164503
VALIDATION,11:00,262,30,-0.04859282463183607,-0.07985050373736911,0.46564885496183206,-0.21868993705172743,0.12336067164113734
VALIDATION,11:00,262,60,-0.019235686736353622,-0.08525862068966453,0.4541984732824427,-0.24910578297222036,0.22096950822752598
VALIDATION,11:00,262,120,-0.046720269122514126,-0.1998915382920709,0.4618320610687023,-0.36573292511142474,0.2683521243970208
VALIDATION,12:00,314,30,0.16289227503552,0.1397722760864309,0.5445859872611465,0.013384028481026341,0.31217800014051844
VALIDATION,12:00,314,60,0.11243184506002553,0.21092639719734896,0.535031847133758,-0.10710473966556779,0.3269775952520262
VALIDATION,12:00,314,120,0.03761131639258065,0.013207547169829283,0.5,-0.29359675945182,0.36017331166487676
