split,snapshot_time,cohort,events,sessions,avg_excess_vs_median_pct,avg_rvol,above_vwap_rate,horizon_min,avg_fwd_atr,median_fwd_atr,positive_rate,ci_low,ci_high
DEV,09:45,PERSIST_1,4498,450,1.8380628419595368,2.4047834541555324,0.8506002667852379,30,-0.04567177752656904,-0.10741758241760786,0.4490884837705647,-0.08754687031010137,-0.010428651189657736
DEV,09:45,PERSIST_1,4498,450,1.8380628419595368,2.4047834541555324,0.8506002667852379,60,-0.051009836991717676,-0.12832004736542776,0.456425077812361,-0.09591736176199095,-0.0021725315826866833
DEV,09:45,PERSIST_1,4498,450,1.8380628419595368,2.4047834541555324,0.8506002667852379,120,-0.038776205871349945,-0.17222835095264233,0.4573143619386394,-0.1081537619226655,0.03104317825256778
DEV,09:45,PERSIST_1_CONFIRMED,1845,435,2.191732568954459,4.192314511015516,1.0,30,-0.04365897936783004,-0.12473118279570267,0.44769647696476966,-0.10877395923946984,0.011436004512993802
DEV,09:45,PERSIST_1_CONFIRMED,1845,435,2.191732568954459,4.192314511015516,1.0,60,-0.04707734099855358,-0.17919999999998854,0.44769647696476966,-0.12879943144375033,0.04167632847649443
DEV,09:45,PERSIST_1_CONFIRMED,1845,435,2.191732568954459,4.192314511015516,1.0,120,-0.0075030428607365295,-0.19817997977756488,0.45691056910569106,-0.10695240256726209,0.10318842742166971
DEV,10:00,PERSIST_1,4477,448,1.9575822865272408,2.3327729627843254,0.8483359392450301,30,-0.03412584498078395,-0.07852564102564658,0.4594594594594595,-0.06405025279007849,-0.0024152878357935155
DEV,10:00,PERSIST_1,4477,448,1.9575822865272408,2.3327729627843254,0.8483359392450301,60,0.01100930997877207,-0.06760505496764671,0.4690641054277418,-0.03254133889873377,0.057103443376067986
DEV,10:00,PERSIST_1,4477,448,1.9575822865272408,2.3327729627843254,0.8483359392450301,120,-0.0012063972510897882,-0.1153450051493347,0.4668304668304668,-0.05746025082525452,0.05894659462539748
DEV,10:00,PERSIST_1_CONFIRMED,1792,427,2.3348730620263587,4.180176678649619,1.0,30,0.007865295190574202,-0.09473195363806657,0.45870535714285715,-0.04484858722508959,0.06614760192755792
DEV,10:00,PERSIST_1_CONFIRMED,1792,427,2.3348730620263587,4.180176678649619,1.0,60,0.04179815576002888,-0.07423151100089626,0.47377232142857145,-0.03268452137150484,0.11212481150325242
DEV,10:00,PERSIST_1_CONFIRMED,1792,427,2.3348730620263587,4.180176678649619,1.0,120,0.048457836131991554,-0.14666734956497046,0.46261160714285715,-0.038239205634043524,0.1444893582007006
DEV,10:00,PERSIST_2,3460,448,2.109614382838708,2.3383137016187354,0.8251445086705202,30,-0.02891676710609376,-0.06897596742302833,0.4635838150289017,-0.06309528641108811,0.006665977377176598
DEV,10:00,PERSIST_2,3460,448,2.109614382838708,2.3383137016187354,0.8251445086705202,60,0.027647343617626385,-0.04423864717416514,0.47658959537572254,-0.019949284670011003,0.07301528062907257
DEV,10:00,PERSIST_2,3460,448,2.109614382838708,2.3383137016187354,0.8251445086705202,120,0.014200700859009027,-0.09765440125971317,0.47196531791907514,-0.04541256014696407,0.07759634131003976
DEV,10:00,PERSIST_2_CONFIRMED,1325,414,2.5997883908574018,4.258119126197658,1.0,30,-0.00428253940951855,-0.09538228614683229,0.45584905660377356,-0.06488700784829395,0.05375053434758807
DEV,10:00,PERSIST_2_CONFIRMED,1325,414,2.5997883908574018,4.258119126197658,1.0,60,0.038162695631330984,-0.06039689387402935,0.4762264150943396,-0.03898190674341217,0.1233888365227771
DEV,10:00,PERSIST_2_CONFIRMED,1325,414,2.5997883908574018,4.258119126197658,1.0,120,0.042156360547493346,-0.12844036697247005,0.46641509433962264,-0.0669827072619505,0.14554807342677897
DEV,10:30,PERSIST_1,4486,449,2.106922800653821,2.190629346139797,0.8410610789121712,30,0.05591289402467762,0.0,0.49531876950512704,0.018953314114137716,0.0928412202723996
DEV,10:30,PERSIST_1,4486,449,2.106922800653821,2.190629346139797,0.8410610789121712,60,0.08617543001645511,0.0,0.49264378065091396,0.03979467928176033,0.135256376700436
DEV,10:30,PERSIST_1,4486,449,2.106922800653821,2.190629346139797,0.8410610789121712,120,0.06690276694891317,-0.059502022731641804,0.48172090949621044,-0.00023358565211101446,0.1336922613268887
DEV,10:30,PERSIST_1_CONFIRMED,1690,432,2.530136796454932,4.130479296177627,1.0,30,0.07137146476635972,0.0,0.4893491124260355,0.01181760544172455,0.13416913073968714
DEV,10:30,PERSIST_1_CONFIRMED,1690,432,2.530136796454932,4.130479296177627,1.0,60,0.12042653534773999,0.0,0.4976331360946746,0.03354698705564319,0.20842755784727854
DEV,10:30,PERSIST_1_CONFIRMED,1690,432,2.530136796454932,4.130479296177627,1.0,120,0.1453825078183928,-0.010168019614391064,0.4911242603550296,0.029365523355859693,0.2644899959255073
