month,trades,net_pnl,avg_r
2024-06,1,-3078.4887449937137,-1.2327867859416408
2024-07,4,2781.529566558139,0.276068383757276
2024-08,5,-1848.3932853427941,-0.1532678975013691
2024-09,1,4263.891699794659,1.7292523782205538
2024-10,3,-6230.135851760865,-0.8323205554216527
2024-11,5,-806.2184949238474,-0.06539905496567708
2024-12,4,2458.432505940169,0.24874547317008178
2025-01,2,1784.4094097738284,0.36966889122468904
2025-03,4,2569.2814226189366,0.25875446945352526
2025-04,3,-9383.555721501958,-1.2591451593847467
2025-05,9,-5337.484980811495,-0.23719589203465313
2025-06,3,-5865.919609352106,-0.7836933632176505
2025-07,3,-6148.712308909049,-0.8338412642838033
2025-08,2,-6477.765105950432,-1.3125403446058492
2025-10,3,-5986.889924085592,-0.8138136725085614
2025-11,1,-3461.5920931714077,-1.4331680005322296
2025-12,2,1123.4231000900727,0.2667536161315761
2026-01,3,-312.81339177469727,-0.044171408111889944
2026-02,2,-5788.042693044146,-1.1796020024651797
2026-03,1,4522.003141931794,1.848032343376401
2026-04,5,-172.24311421146876,-0.013442000469270798
2026-05,3,5125.827091430283,0.6931775347954989
2026-06,2,1236.805806567982,0.235395956618893
