entry_time_bucket,trades,net_pnl,avg_r
09:35,5,2423.5702392390726,0.19346693833262696
09:40,5,7545.458808197488,0.6104096033081365
09:45,6,1729.2964404111635,0.1322294355616199
09:50,4,-1006.0574609710749,-0.09942618936103868
09:55,4,-1667.3478263935026,-0.16807917272266454
10:00,5,-11440.056399677072,-0.9245425282804565
10:05,5,-11258.494819997386,-0.9130168572946996
10:10,4,-7694.163244333728,-0.7661718916274809
10:25,1,-3002.165743357037,-1.2081010970554547
10:30,7,-2712.7815806530766,-0.1548039243621939
10:35,3,-1732.577378397581,-0.22429212336091697
10:55,1,-2983.3220180364574,-1.2018136113104212
11:20,3,-10316.270377364877,-1.4092321360289264
11:30,3,-9992.77812412459,-1.3443220051379356
11:50,1,4152.055611936546,1.6474449914440599
12:05,1,4462.359458954281,1.8080532875295958
12:15,1,4339.562675407137,1.7084183784755909
12:35,1,-3459.7179128948055,-1.4177138168274541
13:20,1,-3266.943627379314,-1.2867881166932633
13:30,1,4222.281878803099,1.6931310666358075
13:40,1,3709.6990702263665,1.493089859538311
13:55,1,-3349.55233301357,-1.3140882689950655
14:10,1,4263.891699794659,1.7292523782205538
14:25,2,8367.158229533945,1.6862353458725594
14:30,1,-3365.924622712339,-1.37244632934244
14:35,1,-3578.378896469082,-1.4410187357060378
14:50,2,578.5466781440282,0.10262311233488397
