split,score_family,top_k,snapshot_time,entry_variant,horizon_min,paired_events,paired_sessions,alt_avg_fwd_atr,immediate_avg_fwd_atr,improvement_atr,session_improvement_atr,improvement_ci_low,improvement_ci_high,improvement_positive_session_rate
DEV,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,120,86,86,-0.12707343616593134,-0.612952796176524,0.48587936001059256,0.48587936001059256,0.24350278990076263,0.7262242773377288,0.627906976744186
DEV,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,30,61,61,-0.20188110205331264,-0.4556581631315092,0.2537770610781965,0.2537770610781964,-0.08085566934512792,0.6505534722217502,0.5081967213114754
DEV,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,60,61,61,-0.2759546103896596,-0.5702942526882179,0.29433964229855836,0.2943396422985584,-0.01768849771397848,0.6200960071486425,0.5081967213114754
DEV,MOMENTUM_ONLY,1,11:00,VWAP_RECLAIM,120,61,61,-0.22763817015236923,-0.7598364213605229,0.5321982512081532,0.5321982512081533,0.18016747580606418,0.8819483556242534,0.639344262295082
DEV,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,30,298,220,-0.03225233076996928,-0.34709570663887035,0.3148433758689011,0.33529253889545296,0.19020947336819596,0.49590389503460325,0.6136363636363636
DEV,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,60,298,220,-0.08394896763226234,-0.33285396088022984,0.2489049932479674,0.21322349910416238,0.08704106675100251,0.3418311164925123,0.5863636363636363
DEV,MOMENTUM_ONLY,3,10:30,VWAP_RECLAIM,120,298,220,-0.2485901052774391,-0.46907958416844847,0.22048947889100934,0.22225755453092633,0.06345699705952647,0.3612848760619775,0.5727272727272728
DEV,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,30,227,179,-0.18929191883356453,-0.4016070280450838,0.21231510921151922,0.2763033874378171,0.09027832886231657,0.47199413613889474,0.5698324022346368
DEV,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,60,227,179,-0.2338993115879886,-0.4860766959098183,0.2521773843218297,0.3284269605357241,0.13936650201589787,0.5250014009617239,0.5642458100558659
DEV,MOMENTUM_ONLY,3,11:00,VWAP_RECLAIM,120,227,179,-0.3701292955721324,-0.7172875754091279,0.3471582798369955,0.39063965960255104,0.21404756049584134,0.5625633110068546,0.6256983240223464
VALIDATION,FULL_4,1,10:30,VWAP_RECLAIM,30,25,25,-0.01760109627983806,-0.6568148922652232,0.6392137959853851,0.6392137959853851,0.04355013320379584,1.4171090048317814,0.76
VALIDATION,FULL_4,1,10:30,VWAP_RECLAIM,60,25,25,-0.23305348095834702,-0.5520170848044809,0.3189636038461339,0.31896360384613387,-0.11715386502585114,0.7340615551820288,0.64
VALIDATION,FULL_4,1,10:30,VWAP_RECLAIM,120,25,25,-0.46153480920483103,-0.8458467933738177,0.3843119841689866,0.3843119841689866,-0.041206155044397015,0.8105766817270303,0.72
VALIDATION,FULL_4,1,11:00,VWAP_RECLAIM,30,19,19,0.5040987287911203,-0.4904290465793992,0.9945277753705194,0.9945277753705194,0.3720062713293696,1.5895292129483085,0.6842105263157895
