entry_time_bucket,trades,net_pnl,avg_r
09:35,2,5502.69773831462,1.107754400282679
09:45,1,1681.1684196291794,0.6744367230830737
09:55,1,4696.502534212181,1.8801911181733888
10:10,1,-2695.485637721015,-1.0803163049731732
10:25,1,-513.7597736207086,-0.20681913139601132
10:30,1,-3006.614749013787,-1.2222011174852883
10:35,1,-2975.849584292452,-1.198368905383035
10:55,2,1386.9112969875055,0.2789675200182252
11:30,1,-2981.4485476190976,-1.2021692952543401
11:40,1,-3151.1748099077663,-1.2613853293164048
11:45,1,-3107.939791910078,-1.2437800384969826
12:15,1,4083.4723865132955,1.6350239785839378
12:20,1,-814.1442482077339,-0.3283260520115098
