month,trades,net_pnl,avg_r
2024-07,2,9085.51701353062,1.8199094581482504
2024-10,2,-6259.114601817844,-1.2525826839066938
2024-11,1,-2975.849584292452,-1.198368905383035
2025-01,2,1814.8661026783789,0.3697694201832824
2025-03,1,4083.4723865132955,1.6350239785839378
2025-05,1,-513.7597736207086,-0.20681913139601132
2026-01,3,-307.93413007469144,-0.044026305648548814
2026-02,1,-3002.1031823309336,-1.2016927580866616
2026-04,1,-814.1442482077339,-0.3283260520115098
2026-06,1,-3006.614749013787,-1.2222011174852883
