symbol,trades,net_pnl,avg_r,avg_mfe_r,avg_mae_r,win_rate
INFY,2,5381.360477233666,1.077640726674366,1.424208245435435,-0.37581754700331993,1.0
TCS,1,4696.502534212181,1.8801911181733888,2.141051677990532,-0.4473773934527433,1.0
BHARTIARTL,1,4083.4723865132955,1.6350239785839378,2.7169189189189464,-0.40620420420424475,1.0
AXISBANK,1,1681.1684196291794,0.6744367230830737,1.6625678180286365,-0.3110351024993139,1.0
ICICIBANK,2,1402.4119484893158,0.2880375534213777,1.2924005372313667,-0.7296982970723657,0.5
HDFCBANK,1,-3151.1748099077663,-1.2613853293164048,0.4817676056338184,-1.3257441314554164,0.0
ITC,2,-3209.2454113417234,-0.6435677181845922,0.5468129840646334,-0.9673751844575262,0.0
SBIN,2,-3816.2474305386677,-0.7650094050490857,0.9138938613316873,-0.7848783353813751,0.0
LT,3,-8963.912880925336,-1.2075797727075546,0.47053597762231814,-1.065493214050657,0.0
