split,target_r,trades,wins,win_rate,profit_factor,expectancy_r,gross_pnl,charges,net_pnl,return_pct,max_drawdown_pct,avg_mfe_r,avg_mae_r
DEVELOPMENT,0.75,55,29,0.5272727272727272,0.44531589556400225,-0.3264674816778475,-30016.07643984413,14776.358911023673,-44792.43535086781,-8.958487070173563,-8.820391273126997,0.5648287694178588,-0.7734101336337416
OUT_OF_SAMPLE,0.75,16,9,0.5625,0.5889408030164051,-0.21801168178301172,-4964.237897506442,3778.189802274052,-8742.427699780494,-1.748485539956099,-2.855706738914125,0.545871011701929,-0.6989655194880995
DEVELOPMENT,1.0,55,24,0.43636363636363634,0.4012425986318874,-0.40589530308286476,-40757.55245533181,14745.310459403905,-55502.862914735706,-11.10057258294714,-11.052457172080455,0.6477218348818954,-0.841668887421626
OUT_OF_SAMPLE,1.0,16,8,0.5,0.6165798020882136,-0.233933245934498,-5529.6832653101155,3781.6706419456095,-9311.353907255725,-1.862270781451145,-2.4881863852045574,0.6620886596059288,-0.7576545438783437
DEVELOPMENT,1.25,55,24,0.43636363636363634,0.507025400286116,-0.3336794226268473,-30987.198399249184,14761.959512574265,-45749.157911823444,-9.149831582364689,-9.444612706476754,0.7648591797625349,-0.8553194083751039
OUT_OF_SAMPLE,1.25,16,8,0.5,0.7962906009413954,-0.12462731264931112,-1165.1437254529446,3786.463623997132,-4951.607349450076,-0.9903214698900151,-1.9938896408762112,0.7275115638612479,-0.7576545438783437
DEVELOPMENT,1.5,55,23,0.41818181818181815,0.5769202040394569,-0.2973401231438423,-25968.68657440632,14763.738113938945,-40732.42468834526,-8.146484937669051,-8.784294035319798,0.8226054600482646,-0.8664673844865838
OUT_OF_SAMPLE,1.5,16,8,0.5,0.9763213208709737,-0.015317806257011748,3216.2740853686473,3792.4194681428226,-576.1453827741739,-0.11522907655483476,-1.7634920303663184,0.8156452576028494,-0.778082559442546
DEVELOPMENT,2.0,55,21,0.38181818181818183,0.613919312114105,-0.29002190204227835,-24862.99328874414,14781.195127283323,-39644.18841602746,-7.928837683205492,-9.254409834409952,0.9652304927764106,-0.9025176651411817
OUT_OF_SAMPLE,2.0,16,8,0.5,1.1902059353363508,0.11517618609983221,8423.099468939788,3793.7597183720754,4629.339750567713,0.9258679501135425,-1.7697667933534456,1.046090679055331,-0.778082559442546
DEVELOPMENT,2.5,55,19,0.34545454545454546,0.5452449667924076,-0.35828897739646043,-34167.10838786212,14765.041902221104,-48932.15029008323,-9.786430058016645,-11.783112118874616,1.0287037415558105,-0.9362269032899609
OUT_OF_SAMPLE,2.5,16,8,0.5,1.443145207306689,0.27134491019604956,14625.067432993355,3802.9116890283613,10822.155743964995,2.1644311487929992,-1.7697667933534456,1.239744234913618,-0.778082559442546
DEVELOPMENT,3.0,55,19,0.34545454545454546,0.636705054082423,-0.28559868302113844,-24362.495872872943,14784.084651280764,-39146.5805241537,-7.82931610483074,-10.531036521800887,1.102969041355898,-0.9362269032899609
OUT_OF_SAMPLE,3.0,16,7,0.4375,1.317237224820348,0.19926347098239156,11724.228704779009,3797.5108028112404,7926.717901967767,1.5853435803935536,-1.7697667933534456,1.3089925116932903,-0.778082559442546
